INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
ID	Ãû³Æ$1$	ËùÐèµÈ¼¶	×î¸ßµÈ¼¶	Éý¼¶ÐèÇóºÍÏûºÄ±í	²Ù×÷Ê±¼ä»ùÊý	¹¤¾ßID	¹¤¾ßID2	¸¨ÖúÆ½Ì¨µÄÓÐÐ§¾àÀë	¸¨ÖúÆ½Ì¨ID	²Ù×÷¶¯×÷ID	Í¼±ê	¶ÔÓ¦¶¯×÷±íÏÖ¹¤¾ß±àºÅ£¨Itemvisuallocator)	¼¼ÄÜËµÃ÷$1$	ÊÇ·ñÓÐºÏ³É½çÃæ	½ø¶ÈÌõÏÔÊ¾µÄ×Ö$1$	ÏûºÄ»îÁ¦»¹ÊÇ¾«Á¦£¨0±íÊ¾²»ÏûºÄ»îÁ¦¾«Á¦£¬1±íÊ¾ÏûºÄ»îÁ¦£¬2±íÊ¾ÏûºÄ¾«Á¦£¬3±íÊ¾ÏûºÄ»îÁ¦ºÍ¾«Á¦£©	¿ªÊ¼Ê±²¥·ÅµÄÉùÒô	ÊÇ·ñÑ­»· 0£º²»Ñ­»· 1£ºÑ­»·	³É¹¦Ê±²¥·ÅµÄÉùÒô	Ê§°ÜÊ±²¥·ÅµÄÉùÒô
1	 N¤u nß¾ng 	-1	10	pengren.txt	5000	-1	-1	5.000000	-1	118	CommonLiveSkill_6	-1	Dân dî thñc vi thiên, thÑc ån giúp h°i phøc th¬ lñc và nµi lñc. Cá, th¸t, lß½ng thñc n¤u lên r¤t ngon.# rMu¯n tìm hi¬u ¦m thñc? Ði Thiên Hoang C± Cänh tìm hi¬u ði.# r#r	1	 N¤u nß¾ng 	1	250	0	-1	-1
2	 Chª dßþc 	15	10	zhiyao.txt	5000	-1	-1	5.000000	1	118	CommonLiveSkill_10	-1	Không mu¯n b¸ b®nh? Mu¯n tr· nên cß¶ng tráng? Ðem thäo dßþc ði luy®n ðan ði.# rMu¯n tìm hi¬u Linh Dßþc? Ði Thiên Hoang C± Cänh tìm hi¬u ði.	1	 Chª dßþc 	1	252	0	-1	-1
3	 Khäm 	-1	10	putongshenghuo.txt	5000	-1	-1	-1.000000	-1	118	CommonLiveSkill_4	-1	Thêm vào trang b¸ cüa ngß½i Bäo ThÕch v×a lµng lçy v×a có giá tr¸ sØ døng này có th¬ tång sÑc chiªn ð¤u cüa ngß½i	2	 Khäm 	2	253	1	-1	-1
4	 ðúc khuôn 	20	10	zhuzao.txt	5000	-1	-1	5.000000	2	118	CommonLiveSkill_7	-1	Mu¯n làm t¯t các công vi®c, phäi có døng cø t¯t. Hãy dùng qu£ng trên dàn ð¬ ðúc ra mµt lßÞi ðao s¡c bén mà ngß½i yêu thích ði	1	 ðúc khuôn 	1	253	1	-1	-1
5	 May m£c 	25	10	fengren.txt	5000	-1	-1	5.000000	4	118	CommonLiveSkill_5	-1	Vû y nghê thß¶ng, ngân giáp kim khäi, chï c¥n ngß½i thích thì l¤y các sän ph¦m d®t này ði may ði	1	 May m£c 	1	254	0	-1	-1
6	 Công ngh® 	25	10	gongyi.txt	5000	-1	-1	5.000000	5	118	CommonLiveSkill_11	-1	Các loÕi trang sÑc ð©p ð¨, ð° v§t xinh x¡n ngß½i ð«u có th¬ làm, có ði«u t¯t nh¤t ngß½i nên tìm mµt công xß·ng	1	 Công ngh® 	2	252	1	-1	-1
7	 Khai khoáng 	20	10	caikuang.txt	6000	10102012	-1	3.000000	-1	142	CommonLiveSkill_3	363	Khoáng thÕch l¤p lánh chôn d¤u ngoài ð°ng hoang, hãy dùng cu¯c ðào qu£ng ðào lên ði	-1	 Khai khoáng 	1	248	1	-1	-1
8	 Hái dßþc 	15	10	caiyao.txt	6000	10102013	-1	3.000000	-1	121	CommonLiveSkill_2	361	Ngß½i s¨ th¤y ngoài ð°ng có r¤t nhi«u thäo dßþc, hãy dùng li«m hái dßþc ði hái v« ði	-1	 Hái dßþc 	1	249	1	-1	-1
9	 Câu cá 	10	10	diaoyu.txt	41000	10100031	10100032	3.000000	-1	119	CommonLiveSkill_9	362	Hãy c¥m c¥n câu ðªn b¶ sông ði, cá ðang ðþi ngß½i	-1	 Câu cá 	0	251	0	-1	-1
