STRING	INT	INT	FLOAT	INT	INT
¶ÔÏóÃû³Æ$1$	»ù´¡ÊìÁ·¶È	¶ÔÓ¦¼¼ÄÜµÈ¼¶	ËðºÄ±ÈÀý	AbilityId	±àºÅ£¨¶ÔÏóµÄ±àºÅ£©
MÕch ð°ng khoáng	1	1	0.000000	8	20003001
Tích khoáng	2	10	0.200000	8	20003002
Mö s¡t	4	15	0.400000	8	20003003
Mö huy«n thiªt	8	20	0.800000	8	20003004
Mö bÕc	16	25	1.600000	8	20003005
Huyªt chích ngân khoáng	32	30	3.200000	8	20003006
Mö vàng	64	35	6.400000	8	20003007
BÕch kim khoáng	128	40	12.800000	8	20003008
H¡c thÕch khoáng	256	45	25.600000	8	20003009
Kim cß½ng thÕch khoáng	512	50	51.200001	8	20003010
Thäo Ngß	1	1	0.000000	10	20002001
Bào ngß	2	10	0.200000	10	20002002
Cá chép	4	15	0.400000	10	20002003
T¥m long Ngß	8	20	0.800000	10	20002004
Quª ngß	16	25	1.600000	10	20002005
Giáp ngß	32	30	3.200000	10	20002006
Bàng giäi	64	35	6.400000	10	20002007
Vû xß½ng ngß	128	40	12.800000	10	20002008
Cá heo	256	45	25.600000	10	20002009
Kim long ngß	512	50	51.200001	10	20002010
