INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
actid	sceneid_0	rate_0	sceneid_1	rate_1	sceneid_2	rate_2	sceneid_3	rate_3	sceneid_4	rate_4	sceneid_5	rate_5	sceneid_6	rate_6	sceneid_7	rate_7	sceneid_8	rate_8	sceneid_9	rate_9
#<0>actid	活动编号
#<1>sceneid_?	Group?：场景ID
#<2>rate_?	Group?：随机分子，分母为同组中所有分子的和
#
0	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	140	1	139	1	142	1	200	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	140	1	139	1	142	1	200	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	140	1	139	1	142	1	200	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3	1	4	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	3	1	4	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	3	1	4	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	3	1	4	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	3	1	4	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	9	1
21	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	9	1
26	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	9	1
27	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	9	1
28	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	9	1
29	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	9	1
41	3	1	4	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	9	1
228	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
229	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
230	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
250	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
252	3	1	4	1	6	1	466	1	467	1	468	1	-1	-1	-1	-1	-1	-1	-1	-1
263	4	1	30	1	24	1	32	1	19	1	20	1	34	1	26	1	35	1	29	1
267	3	1	4	1	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
279	2	1	71	1	72	1	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
299	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
302	466	1	467	1	468	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
316	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
321	466	1	467	1	468	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
322	466	1	467	1	468	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
378	496	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
379	496	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
380	496	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
