INT	STRING	STRING	INT	INT	INT	INT	INT	INT
ID	ÌØÐÔÃû³Æ$1$	Í¼±ê	C-phy	C-magic	C-cold	C-fire	C-light	C-poison
0	Thiªu Lâm		57500	15000	1000000	1000000	1500000	1000000	952000
1	Minh Giáo		57500	15000	1000000	1500000	1000000	1000000	1060000
2	Cái Bang		57500	15000	1000000	1250000	1000000	1300000	859000
3	Võ Ðang		3875	71250	1250000	1200000	1100000	1000000	1672000
4	Nga My		3875	71250	1200000	1000000	1250000	1000000	1537000
5	Tinh Túc		3875	71250	1000000	1000000	1000000	1500000	1152000
6	ÐÕi Lý		43750	43750	1150000	1150000	1150000	1150000	1248000
7	Thiên S½n		57500	15000	1500000	1000000	1000000	1000000	921000
8	Tiêu Dao		3875	71250	1000000	1300000	1000000	1250000	1059000
9	Tiêu chu¦n		42500	42500	200000	200000	200000	200000	500000
10	NPC		63750	63750	1000000	1000000	1000000	1000000	500000
11	 Trân thú loÕi ngoÕi công : Thiªt C¯t Tranh Tranh, uy mãnh, phän xÕ b¢ng Kình Lñc. 	PetAttack_Type1	52900	13800	1000000	1000000	1000000	1000000	500000
12	 Trân thú loÕi công kích nµi công: Minh Tß Ngñ Khí, ðÕo pháp tñ nhiên, l¤y nµi lñc ð¬ ðánh ð¸ch	PetAttack_Type2	3565	65550	1000000	1000000	1000000	1000000	500000
13	Trân thú thuµc bình hành công kích: Bình hành phát tri¬n, Bác thái chúng trß¶ng. 	PetAttack_Type3	40250	40250	1000000	1000000	1000000	1000000	500000
14	Cô Tô		3875	71250	1000000	1000000	1500000	1000000	807000
