INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
Index	class(»ù±¾ÀàÐÍ)	Quality(Æ·ÖÊ)	Type(Àà±ð)	Index(ÎïÆ·ºÅ)	EquipPoint(×°±¸µã)	Visual	ÊÊÓ¦¹æÔò	Ì××°±àºÅ	Ì××°¼þÊý	Name(Ãû³Æ)$1$	Lv(ÐèÇóµÈ¼¶)	Desc(ËµÃ÷)$1$	»ù±¾¼Û¸ñ	³öÊÛ¼Û¸ñ	MaxÄÍ¾Ã	ÐÞÀíÊ§°ÜÉÏÏÞ	ÏâÇ¶±¦Ê¯ÉÏÏÞ	¼¼ÄÜID	½Å±¾ID	Ôö¼ÓHPµÄÉÏÏÞ	°Ù·Ö±ÈÔö¼ÓHPµÄÉÏÏÞ	¼Ó¿ìHPµÄ»Ø¸´ËÙ¶È	Ôö¼ÓMPµÄÉÏÏÞ	°Ù·Ö±ÈÔö¼ÓMPµÄÉÏÏÞ	¼Ó¿ìMPµÄ»Ø¸´ËÙ¶È	±ù¹¥»÷	±ùµÖ¿¹	¼õÉÙ±ù¶³³Ù»ºÊ±¼ä	»ð¹¥»÷	»ðµÖ¿¹	¼õÉÙ»ðÉÕ³ÖÐøÊ±¼ä	µç¹¥»÷	µçµÖ¿¹	¼õÉÙµç»÷Ñ£ÔÎÊ±¼ä	¶¾¹¥»÷	¶¾µÖ¿¹	¼õÉÙÖÐ¶¾Ê±¼ä	°´°Ù·Ö±ÈµÖÏûËùÓÐÊôÐÔ¹¥»÷	ÎïÀí¹¥»÷	°´°Ù·Ö±ÈÔö¼ÓÎïÀí¹¥»÷	¶Ô×°±¸»ù´¡ÎïÀí¹¥»÷°Ù·Ö±È¼Ó³É	ÎïÀí·ÀÓù	°´°Ù·Ö±ÈÔö¼ÓÎïÀí·ÀÓù	¶Ô×°±¸»ù´¡ÎïÀí·ÀÓù°Ù·Ö±È¼Ó³É	°´°Ù·Ö±ÈµÖÏûÎïÀíÉËº¦	Ä§·¨¹¥»÷	°´°Ù·Ö±ÈÔö¼ÓÄ§·¨¹¥»÷	¶Ô×°±¸»ù´¡Ä§·¨¹¥»÷°Ù·Ö±È¼Ó³É	Ä§·¨·ÀÓù	°´°Ù·Ö±ÈÔö¼ÓÄ§·¨·ÀÓù	¶Ô×°±¸»ù´¡Ä§·¨·ÀÓù°Ù·Ö±È¼Ó³É	°´°Ù·Ö±ÈµÖÏûÄ§·¨ÉËº¦	¹¥»÷ËÙ¶È(Á½´Î¹¥»÷¼ä¸ôÊ±¼ä)	Ä§·¨ÀäÈ´ËÙ¶È	ÃüÖÐ	ÉÁ±Ü	»áÐÄÒ»»÷£¨Ë«±¶¹¥»÷£©µÄ°Ù·Ö±È	ÎÞÊÓ¶Ô·½·ÀÓù±ÈÂÊ	ÒÆ¶¯ËÙ¶È°Ù·Ö±È	ÉËº¦·´Éä	ÉËº¦ÓÉÄÚÁ¦µÖÏû	Á¦Á¿	ÁéÆø	ÌåÖÆ	¶¨Á¦	Éí·¨	ÎòÐÔ	Ôö¼ÓËùÓÐµÄÈËÎïÒ»¼¶ÊôÐÔ	ÉúÃüÍµÈ¡	ÄÚÁ¦ÍµÈ¡	Ôö¼ÓÄ³¸ö¼¼ÄÜµÈ¼¶	Ôö¼ÓËùÓÐ¼¼ÄÜµÈ¼¶	ÌØÊâ¼¼ÄÜ·¢¶¯¸ÅÂÊ	»ù´¡ÎïÀí¹¥»÷ÏÂÏÞ	»ù´¡ÎïÀí¹¥»÷ÉÏÏÞ	»ù´¡Ä§·¨¹¥»÷ÏÂÏÞ	»ù´¡Ä§·¨¹¥»÷ÉÏÏÞ	»ù´¡¹¥»÷ËÙ¶ÈÏÂÏÞ(·ÏÆú)	»ù´¡¹¥»÷ËÙ¶ÈÉÏÏÞ(·ÏÆú)	»ù´¡ÎïÀí·ÀÓùÏÂÏÞ	»ù´¡ÎïÀí·ÀÓùÉÏÏÞ	»ù´¡Ä§·¨·ÀÓùÏÂÏÞ	»ù´¡Ä§·¨·ÀÓùÉÏÏÞ	»ù´¡ÉÁ±ÜÏÂÏÞ	»ù´¡ÉÁ±ÜÉÏÏÞ	Í¼±ê	ÀàÐÍÃèÊö	NameID	ÑÕÉ«	ÊÇ·ñ¹ã²¥
10200001	1	2	0	1	0	411	1	-1	-1	Ngân b¯i khän s½n ðao	10	V« loÕi ðao to thông thß¶ng, thân ðao dài, sØ døng thích hþp trong giang h°.	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_2	µ¶¸«Àà	2000	2002	0
10200002	1	2	0	2	0	414	1	-1	-1	Phi liên ðÕi khän ðao	20	LßÞi ðao u¯n cong, có hình lßÞi li«m, thân ðao có ð° án phi nguy®t, có th¬ ch£t, sØ døng thu§n ti®n	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_7	µ¶¸«Àà	2001	2002	0
10200003	1	2	0	3	0	424	1	-1	-1	Song sí khai s½n vi®t	30	Cán vi®t dài nhßng mänh, lßÞi s¡c, gi¯ng nhß chim bay v² cánh, loÕi binh khí xßa có tiªng	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_10	µ¶¸«Àà	2002	2002	0
10200004	1	2	0	4	0	415	1	-1	-1	Bát quái tuyên hoa phü	40	Búa dài 9 t¤c 5 th¯n, n£ng 82 cân, thân búa có s½ ð° Bát quái, vì v§y nó r¤t n±i tiªng, truy«n r¢ng do danh tß¾ng th¶i Tam Qu¯c sØ døng, ví ngß¶i sØ døng c¥n ðao nhß c¥n ngña	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	µ¶¸«Àà	2003	2002	0
10200005	1	2	0	5	0	430	1	-1	-1	CØu Long phß½ng ti®n sän	50	Ðßþc ðúc t× kim loÕi nghìn nåm trên núi CØu Long, sØ døng ð½n giän nhßng r¤t thu§n ti®n, có th¬ xúc có th¬ ð§p, uy lñc r¤t l¾n	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_3	µ¶¸«Àà	2004	2002	0
10200006	1	2	0	6	0	432	1	-1	-1	Kim Ðïnh lang nha sóc	60	Do chân nhân phái Hoa S½n ðúc nên, huy«n thiªt nghìn nåm hàn bång vÕn nåm, t§p hþp linh khí cüa m£t trång, g£p m£t trång thì uy lñc tång mÕnh	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_7	µ¶¸«Àà	2005	2002	0
10200007	1	2	0	7	0	435	1	-1	-1	Th¥n long khai thiên vi®t	70	Do ð® nh¤t danh gia chª tÕo binh khí chª tÕo nên, dung nÕp ðßþc càn Không tr¶i ð¤t trong trß¶ng ðoän 2 trßþng rßÞi này, mûi vi®t möng nhß cánh ve, có th¬ chém ðÑt chiªc lông ðang bay	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_11	µ¶¸«Àà	2006	2002	0
10200008	1	2	0	8	0	444	1	-1	-1	Hßng vong	80	Thiên hÕ hßng vong, th¤t phu hæu trách	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_16	µ¶¸«Àà	2007	2002	0
10200009	1	2	0	9	0	450	1	-1	-1	Tr¥n duyên	90	Tr¥n duyên hæu kh·i, ai ðäm ðß½ng?	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_5	µ¶¸«Àà	2008	2002	0
