INT	INT	INT	STRING	STRING	FLOAT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	轨迹类型	预留	子弹飞行特效ID	飞行音效ID	速度(m/s)	子弹爆炸特效ID	爆炸音效ID	击中特效的绑定点	预留1	预留2	预留3	预留4	预留5	描述
1	0	0	npc_anqi_zd		15.000000	npc_anqi_zdo		身体受击点	0	0				月落西山
2	0	0	g01_zd_huanpeiguihun		15.000000	g01_zdo_huanpeiguihun		身体受击点	0	0				环佩归魂
3	2	0			15.000000	g01_zdo_tiesuohengjiang	Skills\Wd\Wd_三环套月.wav	身体受击点	0	0				铁索横江
6	1	0	g01_zd_baihongguanri		15.000000	g01_zdo_baihongguanri		脚下光圈点	0	0				白虹贯日
7	0	0	g01_zd_dakuixing		15.000000	all_bj07		身体受击点	0	0				大魁星
8	0	0	g01_zd_danfengchaoyang		15.000000	g01_dl_zdo_shaozejian		身体受击点	0	0				丹凤朝阳
9	0	0	g01_zd_gaotanma		15.000000	all_bj06		身体受击点	0	0				高探马
10	0	0	g01_zd_haoyueqianli		15.000000	g01_zdo_huanpeiguihun		身体受击点	0	0				皓月千里
11	0	0	g01_zd_huifengbiliu		15.000000	g01_dl_zdo_yiyangzhi		身体受击点	0	0				回风拂柳
13	0	0	g01_zd_kuaihuosan		15.000000	all_bj06		身体受击点	0	0				快活三
14	1	0			15.000000				0	0				揽雀尾
15	0	0	g01_zd_lanshadu		15.000000	g01_zdo_lanshadu		身体受击点	0	0				蓝砂毒
16	0	0	g01_zd_lvshuangbingzhi	Skills\Common\bullet_fly_by2.wav	15.000000	all_bj04	Skills\Xy\Xy_潇湘夜雨.wav	身体受击点	0	0				履霜冰至
18	0	0	g01_zd_sanhuantaoyue		15.000000	all_bj06		身体受击点	0	0				三环套月
19	0	0	秘籍_xy_zd		15.000000	秘籍_xy_zdo		身体受击点	0	0				鲲跃北溟
20	0	0	g01_zd_shaungfengguaner		15.000000	g01_zdo_shuangfengguaner		身体受击点	0	0				双峰灌耳
22	0	0	g01_zd_tuonidaishui		15.000000	g01_zdo_tuonidaishui		身体受击点	0	0				拖泥带水
23	0	0	g01_zd_wangyangxingtan		15.000000	all_bj06		身体受击点	0	0				望洋兴叹
24	0	0	g01_zd_xianrenzhilu		15.000000	g01_zdo_xianrenzhilu		身体受击点	0	0				仙人指路
25	0	0	g01_zd_xiaokouchangkai		15.000000	g01_zdo_xiaokouchangkai		身体受击点	0	0				笑口常开
26	0	0	g01_zd_yanaimangmang		15.000000	g01_zdo_shuangfengguaner		身体受击点	0	0				烟霭茫茫
27	0	0			0.000000				0	0				野马分鬃
28	2	0			15.000000	g01_zdo_fushidu		脚下光圈点	0	0				腐尸毒
29	2	0			15.000000	g01_zdo_eguangmanying		身体受击点	0	0				恶贯满盈
30	2	0			15.000000	g01_zdo_lianzhufushidu		脚下光圈点	0	0				连珠腐尸毒
35	0	0	g01_zd_lvshuangbingzhi		15.000000	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	0	0				寒冰咒
36	0	0	g01_zd_gaotanma		15.000000	npc_all_danhuo_zdo	Skills\Common\fire_explode_1.wav	身体受击点	0	0				烈火咒
37	0	0	npc_all_dandu_zd		15.000000	g01_zdo_jiuyinbaiguzhua	Skills\Common\poison_3.wav	身体受击点	0	0				血毒咒
38	0	0	npc_all_danxuan_zd		15.000000	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	0	0				霹雷咒
39	2	0			15.000000	cw_zd_jibingningsha		身体受击点	0	0				极冰凝杀
40	2	0			15.000000	cw_zd_jiehuofensha		身体受击点	0	0				劫火焚杀
41	2	0			15.000000	cw_zd_jiuleijisha		身体受击点	0	0				九雷击杀
42	2	0			15.000000	cw_zd_fudushisha		身体受击点	0	0				腐毒蚀杀
43	0	0	npc_yuancheng		15.000000	all_bj06		身体受击点	0	0				NPC远程
80	0	0	g01_ts_zd_shengsifu		15.000000	g01_ts_zdo_shengsifu		身体受击点	0	0				生死符
81	0	0	g01_wd_zd_pikongzhang		15.000000	all_bj00030		身体受击点	0	0				劈空掌
82	0	0	g01_wd_zd_tianmafeipu		15.000000	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	0	0				天马飞瀑
83	0	0	g01_wd_zd_xianrenzhilu		15.000000	g01_wd_zdo_xianrenzhilu		身体受击点	0	0				仙人指路
84	0	0	g01_wd_zd_rufengsibi		15.000000	g01_wd_zdo_rufengsibi		身体受击点	0	0				玉女穿梭
85	0	0	g01_zd_jiuyinbaiguzhua		15.000000	g01_em_zdo_jiuyinbaiguzhua		身体受击点	0	0				西子捧心
86	0	0	g01_em_zd_jindingmianzhang		15.000000	g01_em_zdo_jindingmianzhang		身体受击点	0	0				障眼法
87	0	0			15.000000	g01_em_zd_jiuyingshehun		身体受击点	0	0				九影摄魂
88	0	0	g01_xx_zd_bingcanzhang		15.000000	g01_xx_zdo_bingcanzhang		身体受击点	0	0				冰蚕掌
89	0	0			15.000000	g01_dl_zdo_yuqinguzong		身体受击点	0	0				金玉拳
90	0	0	g01_zd_kuaihuosan		15.000000	g01_dl_zdo_kuxinzhi		身体受击点	0	0				雪拥蓝关
91	0	0	g01_xy_zd_lingyanshibagong	Skills\Common\bullet_fly_by1.wav	15.000000	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	0	0				溪山行旅
92	0	0	a_y_wudang_zd		10.000000	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	0	0				八卦掌
93	0	0	a_y_emei_zd		10.000000	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	0	0				貂蝉拜月
94	0	0	a_y_xingxiu_zd		10.000000	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0				蓝砂手
95	0	0	a_y_dali_zd		10.000000	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	0	0				正阳手
96	0	0	a_y_xiaoyao_zd		10.000000	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_4.wav	身体受击点	0	0				落英剑
97	0	0	g01_xy_zd_beimingshenquan	Skills\Common\bullet_fly_by4.wav	15.000000	g01_xy_zdo_beimingshenquan	Skills\Xy\Xy_惊涛骇浪.wav	身体受击点	0	0				北冥神拳
98	0	0	g01_wd_zd_sanweizhenhuo		15.000000	g01_wd_zdo_sanweizhenhuo		身体受击点	0	0				三味真火
99	0	0	g01_zd_yemafenzong		15.000000	g01_dl_zdo_wanyuechaozong		身体受击点	0	0				万岳朝宗
100	0	0	g01_xy_sf_zd_高山留水		15.000000	g01_xy_sf_zdo_高山留水		头顶状态点	0	0				高山流水
101	0	0	g01_xy_sf_zd_花开縻荼		15.000000	g01_xy_sf_zdo_花开縻荼		身体受击点	0	0				花开縻荼
102	0	0	g01_xx_jq_zd_玄冥神掌		15.000000	g01_xx_jq_zdo_玄冥神掌		身体受击点	0	0				玄冥神掌
103	0	0	g01_xx_sf_zd_化骨绵掌		15.000000	g01_xx_sf_zdo_化骨绵掌		身体受击点	0	0				化骨绵掌
104	0	0	g01_wd_zd_yinyangjue	Skills\Common\item_flyby_1.wav	15.000000	g01_wd_zdo_yinyangjue		身体受击点	0	0				揽雀尾
105	0	0	g01_xx_sf_zd_青蛇掌		15.000000	g01_xx_zdo_qingshezhang		身体受击点	0	0				青蛇毒掌
106	0	0	g01_xx_jq_zt_蛤蟆功		15.000000	g01_xx_zdo_蛤蟆功		身体受击点	0	0				蛤蟆功
107	0	0	g01_xy_sf_zd_高山留水		15.000000	g01_xy_sf_zdo_高山留水		身体受击点	0	0				潇湘夜雨
108	0	0	秘籍_ts_zd		15.000000	秘籍_ts_zdo		身体受击点	0	0				同生共死
109	0	0	秘籍_wd_zd		15.000000	秘籍_wd_zdo		身体受击点	0	0				天外飞仙
110	0	0	秘籍_em_zd		15.000000	秘籍_em_mj_zdo		身体受击点	0	0				九阴白骨爪
111	0	0	秘籍_xx_zd		15.000000	秘籍_xx_zdo		身体受击点	0	0				化骨绵掌
112	0	0	cw_danbing_zd		15.000000	cw_danbing_zdo		身体受击点	0	0				宠冰
113	0	0	cw_danhuo_zd		15.000000	cw_danhuo_zdo		身体受击点	0	0				宠火
114	0	0	cw_danxuan_zd		15.000000	cw_danxuan_zdo		身体受击点	0	0				宠玄
115	0	0	cw_dandu_zd		15.000000	cw_dandu_zdo		身体受击点	0	0				宠毒
116	0	0	特效雪球		12.000000	特效雪球_zdo	Skills\interface\sound_jiaru.wav	身体受击点	0	0				雪球
117	0	0	落马技能_zd		15.000000	落马技能_zdo		身体受击点	0	0				落马技
118	0	0	go1_爱神之箭_zd_01		10.000000	go1_爱神之箭_zdo_01		身体受击点	0	0				爱神之箭
119	0	0	g01_zd_斩妖剑01		10.000000	g01_zdo_斩妖剑01	Skills\Common\Zyj_爆炸雷电.wav	身体受击点	0	0				斩妖剑
120	0	0	g01_暗器投掷01		15.000000	g01_zdo_暗器投掷01		身体受击点	0	0				暗器投掷
121	0	0	g01_暗器打穴01		15.000000	g01_zdo_暗器打穴01		身体受击点	0	0				暗器打穴
122	0	0	g01_慈航普度_子弹01		15.000000	g01_慈航普度_被击01		身体受击点	0	0				慈航普度
123	0	0	g01_dl_天龙80级技能01		15.000000	g01_dl_天龙80级技能_被击01	Skills\Dl\天龙中冲_受击.wav	身体受击点	0	0				中冲剑
124	0	0	g01_xx_尸爆_子弹		15.000000	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	0	0
125	2	0			15.000000	m01_wd_七星聚首_伤害	Skills\Wd\Wd_三环套月.wav	身体受击点	0	0
126	0	0	buff_武魂_子弹紫色		15.000000	buff_武魂_子弹紫色_zdo		身体受击点	0	0				武魂单紫
127	0	0	buff_武魂_子弹银白		15.000000	buff_武魂_子弹银白_zdo		身体受击点	0	0				武魂单银白
128	0	0	buff_武魂_子弹红色		15.000000	buff_武魂_子弹红色_zdo		身体受击点	0	0				武魂单红
129	0	0	buff_武魂_子弹黄色		15.000000	buff_武魂_子弹黄色_zdo		身体受击点	0	0				武魂单黄
130	0	0	buff_武魂_子弹绿色		15.000000	buff_武魂_子弹绿色_zdo		身体受击点	0	0				武魂单绿
131	0	0	buff_武魂_子弹黑色		15.000000	buff_武魂_子弹黑色_zdo		身体受击点	0	0				武魂单黑
132	0	0	buff_武魂_子弹紫色		15.000000	buff_武魂_子弹紫色_zdo放大		身体受击点	0	0				武魂群紫
133	0	0	buff_武魂_子弹银白		15.000000	buff_武魂_子弹银白_zdo放大		身体受击点	0	0				武魂群银白
134	0	0	buff_武魂_子弹红色		15.000000	buff_武魂_子弹红色_zdo放大		身体受击点	0	0				武魂群红
