INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
ID	RaceID	ModelFile	ShowName$1$	MaterialName	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®
0	0	Å®Ö÷½ÇÍ··¢01.mesh	Lßu vân phát	Å®Ö÷½ÇÍ··¢01	20307101	1	2	PeiFang_5	50000
1	0	Å®Ö÷½ÇÍ··¢02.mesh	Du tiên phát	Å®Ö÷½ÇÍ··¢02	20307102	1	3	PeiFang_5	50000
2	0	Å®Ö÷½ÇÍ··¢03.mesh	Lßu tß phát	Å®Ö÷½ÇÍ··¢03	20307103	1	2	PeiFang_5	50000
3	0	Å®Ö÷½ÇÍ··¢04.mesh	Cänh dao phát	Å®Ö÷½ÇÍ··¢04	20307104	1	2	PeiFang_5	50000
4	0	Å®Ö÷½ÇÍ··¢05.mesh	Ði®p vû phát	Å®Ö÷½ÇÍ··¢05	20307105	1	2	PeiFang_5	50000
5	1	ÄÐÖ÷½ÇÍ··¢01.mesh	Lßu vân phát	ÄÐÖ÷½ÇÍ··¢01	20307101	1	3	PeiFang_5	50000
6	1	ÄÐÖ÷½ÇÍ··¢02.mesh	Du tiên phát	ÄÐÖ÷½ÇÍ··¢02	20307102	1	2	PeiFang_5	50000
7	1	ÄÐÖ÷½ÇÍ··¢03.mesh	Lßu tß phát	ÄÐÖ÷½ÇÍ··¢03	20307103	1	2	PeiFang_5	50000
8	1	ÄÐÖ÷½ÇÍ··¢04.mesh	Cänh dao phát	ÄÐÖ÷½ÇÍ··¢04	20307104	1	2	PeiFang_5	50000
9	1	ÄÐÖ÷½ÇÍ··¢05.mesh	Ði®p vû phát	ÄÐÖ÷½ÇÍ··¢05	20307105	1	2	PeiFang_5	50000
10	1	ÄÐÖ÷½ÇÍ··¢06.mesh	Trß¶ng Ñc phát	ÄÐÖ÷½ÇÍ··¢06	20307106	1	2	PeiFang_5	50000
11	1	ÄÐÖ÷½ÇÍ··¢07.mesh	Hoàn häi phát	ÄÐÖ÷½ÇÍ··¢07	20307107	1	2	PeiFang_5	50000
12	1	ÄÐÖ÷½ÇÍ··¢08.mesh	T¤n hoa phát	ÄÐÖ÷½ÇÍ··¢08	20307108	1	3	PeiFang_5	50000
13	1	ÄÐÖ÷½ÇÍ··¢09.mesh	LÕc huy«n phát	ÄÐÖ÷½ÇÍ··¢09	20307109	1	2	PeiFang_5	50000
14	1	ÄÐÖ÷½ÇÍ··¢14.mesh	Bäo miên phát	ÄÐÖ÷½ÇÍ··¢14	20307110	1	3	PeiFang_5	50000
15	0	Å®Ö÷½ÇÍ··¢06.mesh	Trß¶ng Ñc phát	Å®Ö÷½ÇÍ··¢06	20307106	1	2	PeiFang_5	50000
16	0	Å®Ö÷½ÇÍ··¢07.mesh	Hoàn häi phát	Å®Ö÷½ÇÍ··¢07	20307107	1	2	PeiFang_5	50000
17	0	Å®Ö÷½ÇÍ··¢08.mesh	T¤n hoa phát	Å®Ö÷½ÇÍ··¢08	20307108	1	3	PeiFang_5	50000
18	0	Å®Ö÷½ÇÍ··¢09.mesh	LÕc huy«n phát	Å®Ö÷½ÇÍ··¢09	20307109	1	2	PeiFang_5	50000
