INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING
ID	RaceID	ShowName$1$	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®	GroupID	TitleInfo$1$
1	0	Ði®p mµng	30008039	1	3	GirlProtagonist_1	50000	1	Ði®p mµng
2	0	Nhßþc thuÖ	30008039	1	3	GirlProtagonist_2	50000	2	Nhßþc thuÖ
3	0	Vân mi¬u	30008039	1	3	GirlProtagonist_3	50000	3	Vân mi¬u
4	0	HuÏnh ho£c	30008039	1	3	GirlProtagonist_4	50000	4	HuÏnh ho£c
5	0	U ðàm	30008039	1	3	GirlProtagonist_5	50000	5	U ðàm
6	0	Ngßng quang	30008039	1	3	GirlProtagonist_6	50000	6	Ngßng quang
7	0	Lan chï	30008039	1	3	GirlProtagonist_7	50000	7	Lan chï
8	0	H°ng liên	30008039	1	3	GirlProtagonist_8	50000	8	H°ng liên
9	0	Lßu ly	30008039	1	3	GirlProtagonist_9	50000	9	Lßu ly
10	0	Dß½ng vû	30008039	1	3	GirlProtagonist_10	50000	10	Dß½ng vû
11	0	Tiên linh	30008039	1	3	GirlProtagonist_11	50000	11	Tiên linh
12	0	C¦m s¡t	30008039	1	3	GirlProtagonist_12	50000	12	C¦m s¡t
13	1	Vân hoang	30008039	1	3	ManProtagonist_1	50000	13	Vân hoang
14	1	Thanh phong	30008039	1	3	ManProtagonist_2	50000	14	Thanh phong
15	1	CØu tiêu	30008039	1	3	ManProtagonist_3	50000	15	CØu tiêu
16	1	Lßu Änh	30008039	1	3	ManProtagonist_4	50000	16	Lßu Änh
17	1	Tinh h°n	30008039	1	3	ManProtagonist_5	50000	17	Tinh h°n
18	1	Thanh sß½ng	30008039	1	3	ManProtagonist_6	50000	18	Thanh sß½ng
19	1	Phong nhã	30008039	1	3	ManProtagonist_7	50000	19	Phong nhã
20	1	Sóc phong	30008039	1	3	ManProtagonist_8	50000	20	Sóc phong
21	1	Kim qua	30008039	1	3	ManProtagonist_9	50000	21	Kim qua
22	1	TØ câm	30008039	1	3	ManProtagonist_10	50000	22	TØ câm
23	1	Quy tà	30008039	1	3	ManProtagonist_11	50000	23	Quy tà
24	1	Li®p dß½ng	30008039	1	3	ManProtagonist_12	50000	24	Li®p dß½ng
25	0	Tâm liên	30008039	1	2	GirlProtagonist_13	50000	25	Tâm liên
26	0	Huy«n nguy®t	30008039	1	2	GirlProtagonist_14	50000	26	Huy«n nguy®t
27	0	Vong ßu	30008039	1	2	GirlProtagonist_15	50000	27	Vong ßu
28	0	Tuyªt huÏnh	30008039	1	2	GirlProtagonist_16	50000	28	Tuyªt huÏnh
29	1	HÕo thiên	30008039	1	2	ManProtagonist_13	50000	29	HÕo thiên
30	1	HÕc mµng	30008039	1	2	ManProtagonist_14	50000	30	HÕc mµng
31	1	Hành ca	30008039	1	2	ManProtagonist_15	50000	31	Hành ca
32	1	Thß½ng lang	30008039	1	2	ManProtagonist_16	50000	32	Thß½ng lang
33	0	Nhß ng÷c	30008039	1	2	GirlProtagonist_17	50000	33	Nhß ng÷c
34	0	Tr¥m phi	30008039	1	2	GirlProtagonist_18	50000	34	Tr¥m phi
35	0	Vân änh	30008039	1	2	GirlProtagonist_19	50000	35	Vân änh
36	0	LÕc du	30008039	1	2	GirlProtagonist_20	50000	36	LÕc du
37	1	Hàn ðß¶ng	30008039	1	2	ManProtagonist_17	50000	37	Hàn ðß¶ng
38	1	MÕc ngôn	30008039	1	2	ManProtagonist_18	50000	38	MÕc ngôn
39	1	Thß½ng dÕ	30008039	1	2	ManProtagonist_19	50000	39	Thß½ng dÕ
40	1	Truy vân	30008039	1	2	ManProtagonist_20	50000	40	Truy vân
41	0	Ngßng lam	30008039	1	2	GirlProtagonist_21	50000	41	Ngßng lam
42	0	Nhßþc ßu	30008039	1	2	GirlProtagonist_22	50000	42	Nhßþc ßu
43	1	M£c hàn	30008039	1	2	ManProtagonist_21	50000	43	M£c hàn
44	1	MÕn tinh	30008039	1	2	ManProtagonist_22	50000	44	MÕn tinh
45	1	Tß ngÕo	30008039	1	2	ManProtagonist_23	50000	45	Tß ngÕo
46	0	Nghiên nguy®t	30008039	1	2	GirlProtagonist_23	50000	46	Nghiên nguy®t
