INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
index	class	quality	type	Medindex	Resources	Name	Description	Level dùng	Basic price	Sale price	Adapt to the rules	250	Script Code	Skill No.	Không th¬ dùng: -1:ok;0:ok;1:ko dùng	C¥n skill	c¥n skill level	Number of the largest holders of	LoÕi ch÷n møc tiêu	Description	C¤p ðµ	ID công thÑc	Color	SubClass	Thông báo
20005020	2	0	5	20	OtherTools2_14	V§t ph¦m chßa ðßþc biªt	V§t ph¦m chßa ðßþc biªt	1	10	2	4	250	-1	-1	1	8	1	-1	-1	V§t ph¦m chßa ðßþc biªt	1	0	2000	-1	0
20101000	2	1	1	0	XinFa1_7	Tàng Bäo Ð° [Phª Khí]	tàng bäo ð°	1	0	0	4	250	-1	-1	1	8	1	-1	-1	Ngân Phiªu	1	0	2000	-1	0
20101001	2	1	1	1	Herbal1_1	BÕch Anh	V¸ ð¡ng, cay, tính hàn. Có tác døng thanh nhi®t, giäi ðµc. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	1	375	10	4	250	-1	-1	1	8	1	-1	-1	S½ cáp dßþc tài	1	0	2000	-1	0
20101002	2	1	1	2	Herbal1_2	B° Hoàng	V¸ ng÷t d¸u, có tác døng c¥m máu, hoÕt huyªt. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	1	625	10	4	250	-1	-1	1	8	1	-1	-1	S½ cáp dßþc tài	1	0	2000	-1	0
20101003	2	1	1	3	Herbal2_2	Xuyên B¯i	V¸ ng÷t, có tác døng c¥m ho, làm d¸u gan, lßu thông khí huyªt. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	2	625	20	4	250	-1	-1	1	8	2	-1	-1	S½ cáp dßþc tài	2	0	2000	-1	0
20101004	2	1	1	4	Herbal1_6	Nguyên H°	Thân dùng làm thu¯c, có tác døng lßu thông khí huyªt, giäm ðau. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	2	875	20	4	250	-1	-1	1	8	2	-1	-1	S½ cáp dßþc tài	2	0	2000	-1	0
20101005	2	1	1	5	Herbal1_8	TÏ Bà	Lá dùng làm thu¯c, tính bình, v¸ ð¡ng, có tác døng thanh phª hÕ khí, tr¸ ho, nôn mØa. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	3	875	30	4	250	-1	-1	1	8	3	-1	-1	S½ cáp dßþc tài	3	0	2000	-1	0
20101006	2	1	1	6	Herbal2_4	Cam Thäo	Tính bình, v¸ ng÷t, có tác døng giäi ðµc, giäm sßng, giäm ðau. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	3	875	30	4	250	-1	-1	1	8	3	-1	-1	S½ cáp dßþc tài	3	0	2000	-1	0
20101007	2	1	1	7	Herbal1_10	Kim Ngân Hoa	V¸ ng÷t, hàn, có tác døng thanh nhi®t giäi ðµc. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	3	1125	30	4	250	-1	-1	1	8	3	-1	-1	S½ cáp dßþc tài	3	0	2000	-1	0
