INT	INT	INT	INT	INT	INT	INT
ID	帮派资金	任务数	消耗属性类型	消耗属性值	需求建筑类型	需求级别
1	10000	5	5	0	1	1
2	4200000	60	3	300	-1	-1
3	10800000	120	3	720	-1	-1
4	31200000	240	3	2400	-1	-1
5	62400000	480	3	4800	-1	-1
6	2400000	40	5	240	3	3
7	8000000	80	5	800	-1	-1
8	16000000	160	5	1600	-1	-1
9	10000	0	5	0	1	1
10	5500000	50	5	250	-1	-1
11	13000000	100	5	600	-1	-1
12	40000000	200	5	2000	-1	-1
13	80000000	400	5	4000	-1	-1
14	4200000	60	5	300	-1	-1
15	10800000	120	5	720	-1	-1
16	31200000	240	5	2400	-1	-1
17	62400000	480	5	4800	-1	-1
18	4200000	60	1	300	-1	-1
19	10800000	120	1	720	-1	-1
20	31200000	240	1	2400	-1	-1
21	62400000	480	1	4800	-1	-1
22	4200000	60	4	300	-1	-1
23	10800000	120	4	720	-1	-1
24	31200000	240	4	2400	-1	-1
25	62400000	480	4	4800	-1	-1
26	2400000	40	2	240	9	3
27	8000000	80	2	800	-1	-1
28	16000000	160	2	1600	-1	-1
29	3200000	320	2	320	-1	-1
30	4200000	60	2	300	-1	-1
31	10800000	120	2	720	-1	-1
32	31200000	240	2	2400	-1	-1
33	62400000	480	2	4800	-1	-1
34	2400000	40	5	240	1	3
35	8000000	80	5	800	-1	-1
36	16000000	160	5	1600	-1	-1
37	3200000	320	5	320	-1	-1
38	3000000	50	5	250	-1	-1
39	8000000	100	5	600	-1	-1
40	24000000	200	5	2000	-1	-1
41	48000000	400	5	4000	-1	-1
42	2400000	40	0	240	5	3
43	8000000	80	0	800	-1	-1
44	16000000	160	0	1600	-1	-1
45	3200000	320	0	320	-1	-1
46	4200000	60	0	300	-1	-1
47	10800000	120	0	720	-1	-1
48	31200000	240	0	2400	-1	-1
49	62400000	480	0	4800	-1	-1
50	200000	20	2	20	-1	-1
51	400000	40	2	40	-1	-1
52	800000	80	2	80	-1	-1
53	200000	20	2	20	-1	-1
54	500000	25	5	25	-1	-1
55	300000	25	5	25	-1	-1
56	100000	30	0	30	5	1
57	200000	60	0	60	5	2
58	400000	120	0	120	5	3
59	800000	240	0	240	5	4
60	1600000	480	0	480	5	5
61	100000	30	3	30	11	1
62	200000	60	3	60	11	2
63	400000	120	3	120	11	3
64	800000	240	3	240	11	4
65	1600000	480	3	480	11	5
66	100000	30	2	30	10	1
67	400000	120	2	120	10	2
68	1600000	480	2	480	10	3
69	100000	30	5	30	2	1
70	400000	120	5	120	2	2
71	1600000	480	5	480	2	3
72	11000000	100	5	500	-1	-1
73	26000000	200	5	1200	-1	-1
74	64000000	400	5	3200	-1	-1
75	160000000	800	5	8000	-1	-1
76	100000	30	2	30	3	2
77	200000	60	2	60	3	3
78	400000	120	2	120	3	4
79	800000	240	2	240	3	5
80	6300000	90	2	450	0	2
81	16200000	180	2	1080	0	3
82	46800000	360	2	3600	0	4
83	93600000	720	2	7200	0	5
