INT	INT	INT	STRING	STRING
Ë÷Òý£¨ÎÞ¾ßÌåº¬Òå£©	¹ã²¥ÀàÐÍID£¨Ë³ÐòµÝÔö£©	ÆµµÀÀàÐÍ£º4-ÏµÍ³ÏûÏ¢£¬6-°ïÅÉÏûÏ¢£¬7-ÃÅÅÉÏûÏ¢	»î¶¯ÃèÊö$1$	¹ã²¥ÄÚÈÝ£¨ÏûÏ¢ÏÞ³¤256CHAR£¬ÑÏ½ûÊ¹ÓÃ×Ö·û%£©£º&A-»î¶¯ÃèÊö£¬&S-³¡¾°Ãû³Æ£¬&T-¶Ó³¤Ãû³Æ£¬&U-Íæ¼ÒÃû³Æ£¬&I-ÎïÆ·Ãû³Æ$1$
0	0	4	Xí Nga Vß½ng	#W&U #PtÕi Tuyªt Nguyên khiªn #{_BOSS42} #Pcúi ð¥u quy hàng, sau ðó lÕnh lùng nh£t #W&I#P, phi công biªn m¤t trong màn sß½ng tuyªt.
1	0	4	Xí Nga Vß½ng	#W&U #Pkhiªn #{_BOSS42} #Pngã gøc tÕi tr§n, #W&U #PxÑng ðáng nh§n ðßþc #W&I #Psau n² lñc cüa mình.
2	0	4	Xí Nga Vß½ng	#W&U #PtÕi #G&S #PðÕi chiªn v¾i #{_BOSS42}#P,  cäm th¤y mình ch¯ng ðÞ quá v¤t vä, ðành giao lÕi #W&I#P, sau ðó tr¯n chÕy.
3	1	4	ÐoÕt bäo Mã t£c	#W&U #PtÕi #G&S #Pkh± chiªn #{_BOSS48}#P, trong lúc truy ðu±i b²ng phát hi®n #W&I #Pr¾t lÕi trên m£t ð¤t, ti®n tay bö vào túi r°i tiªp tøc truy ðu±i.
4	1	4	ÐoÕt bäo Mã t£c	#W&U#P · #G&S#P ðào ðßþc bäo tàng, quá ð²i hßng ph¤n, múa mµt chiêu "Kim Cang Phøc Ma Quy¬n", hÕ gøc #{_BOSS48}#P mai phøc xung quanh, ðoÕt ðßþc 1 #W&I#P.
5	1	4	ÐoÕt bäo Mã t£c	Trong lúc #W&U#P ðang k¸ch chiªn v¾i #{_BOSS48}#P · #G&S#P thì b¸ trúng Ám Khí. #W&U#P nh£t Ám Khí lên xem, thì ra là 1 #W&I#P.
6	2	4	Ðánh lén môn phái	#{_BOSS28} #Ptiªp mµt chiêu cüa #W&U#P, không hi¬u vì sao chiêu thÑc lÕi nhanh và mÕnh nhß thª, ðành gøc xu¯ng và giao lÕi #W&I#P.
7	2	4	Ðánh lén môn phái	#{_BOSS28} #Ptiªp mµt chiêu cüa #W&U#P, không ng¶ máu chäy kh¡p ngß¶i, còn r¾t lÕi #W&I #Pxu¯ng ð¤t.
8	2	4	Ðánh lén môn phái	#{_BOSS28} #Pcäm th¤y không phäi ð¯i thü cüa #W&U #Pðánh quay lßng bö chÕy và nói: Bão táp ghê quá ! H©n l¥n sau v§y ! Khi bö chÕy còn r¾t lÕi #W&I #Pmà không h« hay biªt.
9	3	4	Ngân ngai tuyªt nguyên	#W&U#P ðang · #G&S#P ng¡m tuyªt r½i, chþt th¤y hào quang lóe sáng, #W&U#P ðßa tay ra c¥m l¤y, thì ra là mµt thanh #W&I#P.
10	4	4	Kính H°	#PSau h½n 300 hi®p ðÕi chiªn, #{_BOSS14} #Pcûng thoát khöi vòng vây và nói:  #W&U#P ! Höa kháng cüa ngß½i th§t ðáng n¬, ta không th¬ nào là ð¯i thü, #W&I #Pngß½i xÑng ðáng nh§n ðßþc !
11	5	4	Ðánh lén môn phái	#{_BOSS27} #Ptiªp mµt chiêu cüa #W&U#P, không hi¬u vì sao chiêu thÑc lÕi nhanh và mÕnh nhß thª, ðành gøc xu¯ng và giao lÕi #W&I#P.
12	5	4	Ðánh lén môn phái	#{_BOSS27} #Ptiªp mµt chiêu cüa #W&U#P, không ng¶ máu chäy kh¡p ngß¶i, còn r¾t lÕi #W&I #Pxu¯ng ð¤t.
13	5	4	Ðánh lén môn phái	#{_BOSS27} #Pcäm th¤y không phäi ð¯i thü cüa #W&U #Pðánh quay lßng bö chÕy và nói: Bão táp ghê quá ! H©n l¥n sau v§y ! Khi bö chÕy còn r¾t lÕi #W&I #Pmà không h« hay biªt.
14	6	4	HoÕt ðµng ti¬u quái Thánh Thú S½n	#GGiæa Thánh Thú S½n #Pmßa gió thét gào#P, #W&U#P phi thân ðá mµt cß¾c, h¤t mµt con dã trß vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n dß¾i gót hài b¸ rách lµ ra mµt bän #W&I#P!
15	6	4	HoÕt ðµng ti¬u quái Thánh Thú S½n	#GGiæa Thánh Thú S½n #Pcát vàng mù tr¶i#P, #W&U#P phi thân chß·ng mµt quy«n, h¤t mµt con dã trß lµn m¤y vòng giæa không trung. Kªt quä b¤t ng¶ phát hi®n trong hµ thü b¸ rách lµ ra mµt bän #W&I#P!
16	6	4	HoÕt ðµng ti¬u quái Thánh Thú S½n	#GGiæa Thánh Thú S½n #Pbão tuyªt v¥n vû#P, #W&U#P phi thân ðánh mµt g§y, h¤t mµt con dã trß vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n trong c§y g§y b¸ gãy lµ ra mµt bän #W&I#P!
17	7	4	Tiêu quái Dã trß ðiên loÕn	#GTrong nông trß¶ng dã trß#P, #W&U#P phi thân ðá mµt cß¾c, h¤t mµt con dã trß rång nh÷n vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n dß¾i gót hài b¸ rách lµ ra mµt bän #W&I#P!
18	7	4	Tiêu quái Dã trß ðiên loÕn	#GTrong nông trß¶ng dã trß#P, #W&U#P phi thân chß·ng mµt quy«n, h¤t mµt con dã trß rång nh÷n vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n trong hµ thü b¸ rách lµ ra mµt bän #W&I#P!
19	7	4	Tiêu quái Dã trß ðiên loÕn	#GTrong nông trß¶ng dã trß#P, #W&U#P phi thân ðánh mµt g§y, h¤t mµt con dã trß rång nh÷n vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n trong c§y g§y b¸ gãy lµ ra mµt bän #W&I#P!
20	8	4	Lão bän dã trß ðiên loÕn	#GTrong nông trß¶ng dã trß#P, #W&U#P phi thân ðá mµt cß¾c, h¤t mµt con #{_BOSS20} vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n dß¾i gót hài b¸ rách lµ ra mµt bän #W&I#P!
21	8	4	Lão bän dã trß ðiên loÕn	#GTrong nông trß¶ng dã trß#P, #W&U#P phi thân chß·ng mµt quy«n, h¤t mµt con #{_BOSS20} vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n trong hµ thü b¸ rách lµ ra mµt bän #W&I#P!
22	8	4	Lão bän dã trß ðiên loÕn	#GTrong nông trß¶ng dã trß#P, #W&U#P phi thân ðánh mµt g§y, h¤t mµt con #{_BOSS20} vång lên giæa không trung. Kªt quä b¤t ng¶ phát hi®n trong c§y g§y b¸ gãy lµ ra mµt bän #W&I#P!
23	9	4	Huy«n Vû Ðäo r¾t ra	#W&U #Pquä nhiên có mµt ngày may m¡n khó hi¬u,  tÕi #G&S #Pchï vô tình giªt mµt con quái v§t mà ðÕt ðßþc #W&I#P, th§t khiªn ngß¶i khác phäi ngÞ ngàng !
24	9	4	Huy«n Vû Ðäo r¾t ra	#W&U #Psau 10 ngày m®t möi tÕi #G&S#P, cu¯i cùng cûng tìm ðßþc mµt quy¬n #W&I#P, quä không u±ng công sÑc b¤y lâu.
25	9	4	Huy«n Vû Ðäo r¾t ra	#W&U #PtÕi #G&S#P, vô tình tìm ðßþc mµt quy¬n #W&I#P.
26	10	4	Ðánh r¾t th¶i trang ð° tß¶ng · Yªn vß½ng c± mµ	#Pðang mò ðß¶ng trong Yªn Vß½ng C± Mµ v¾i ánh ðèn d¥u m¶ m¶, không c¦n th§n b¸ r¾t cây ðèn, cúi xu¯ng nh£t lên thì vô tình phát hi®n bên cÕnh ðó là #W&I#P.
