INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING
ID	Class_ID	»¥³â±ê¼Ç	ÊÇ·ñÍ¬²½(0/1)	×î´óµþ¼Ó´ÎÊý	·¢×÷Ê±¼ä¼ä¸ô(ms)	³ÖÐøÊ±¼ä(ms)	³ÖÐøÊ±¼äÐÞÕýÐÞÕý¹«Ê½ID	Ô­×Ó²Ù×÷ID(1)	²ÎÊý1(1)	²ÎÊý2(1)	ÐÞÕý¹«Ê½ID(1)	Ô­×Ó²Ù×÷ID(2)	²ÎÊý1(2)	²ÎÊý2(2)	ÐÞÕý¹«Ê½ID(2)	Ô­×Ó²Ù×÷ID(3)	²ÎÊý1(3)	²ÎÊý2(3)	ÐÞÕý¹«Ê½ID(3)	Ô­×Ó²Ù×÷ID(4)	²ÎÊý1(4)	²ÎÊý2(4)	ÐÞÕý¹«Ê½ID(4)	Ô­×Ó²Ù×÷ID(5)	²ÎÊý1(5)	²ÎÊý2(5)	ÐÞÕý¹«Ê½ID(5)	Ô­×Ó²Ù×÷ID(6)	²ÎÊý1(6)	²ÎÊý2(6)	ÐÞÕý¹«Ê½ID(6)	Ô­×Ó²Ù×÷ID(7)	²ÎÊý1(7)	²ÎÊý2(7)	ÐÞÕý¹«Ê½ID(7)	Ô­×Ó²Ù×÷ID(8)	²ÎÊý1(8)	²ÎÊý2(8)	ÐÞÕý¹«Ê½ID(8)	´¥·¢ÌØÐ§ID	´¥·¢ÌØÐ§µÄ°ó¶¨µã	ÉËº¦ÌØÐ§ID	ÉËº¦ÌØÐ§µÄ°ó¶¨µã	Í¼±êID	Ð§¹ûÃèÊö$1$
10	-1	-1	0	1	0	0	-1	0	18	30	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	Sát thß½ng cüa Kim Cang Phøc Ma Quy¬n
11	-1	-1	0	1	0	0	-1	13	0	10	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Giäm nµ cüa Kim Cang Phøc Ma Quy¬n
1	-1	-1	0	1	0	0	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	T¤n công
20	-1	-1	0	1	0	0	-1	-1	-1	-1	-1	7	-1	15	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	8	-1	Mßa cüa Ninh Tînh 1 l¥n hi®u quä tång máu
30	-1	-1	0	1	0	0	-1	4	-1	-1	-1	0	18	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	Thß½ng t±n cüa Ð½n Phøng Tri«u Dß½ng
40	-1	-1	0	1	0	900000	-1	-1	-1	-1	-1	1	7	20	1	1	10	20	1	1	13	20	1	1	16	20	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	8	-1	T× Hàng Ph± Ðµ tång toàn bµ kháng tính
50	-1	-1	0	1	0	0	-1	4	-1	-1	-1	0	18	50	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	0	-1	Thß½ng t±n cüa Thiªu TrÕch Ti­n
60	-1	1	0	1	0	0	-1	7	-1	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Tång gia HP 300
70	-1	1	0	1	0	0	-1	8	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Tång gia MP 100
71	-1	1	0	1	1000	10000	-1	8	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Kéo dài sñ gia tång gia MP 200
80	-1	1	0	1	0	0	-1	7	-1	100	-1	8	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Tång gia HP 100, MP 100
81	-1	1	0	1	1000	10000	-1	7	-1	10	-1	8	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Kéo dài sñ gia tång gia HP 100, MP 100
90	-1	-1	0	1	0	300000	-1	1	29	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Tång gia chính xác 100, th¶i gian kéo dài 5 phút ð°ng h°
100	-1	-1	0	1	0	300000	-1	1	30	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Gia Tång né tránh 100, th¶i gian kéo dài 5 phút ð°ng h°
110	-1	-1	0	1	0	120000	-1	1	31	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Gia Tång hµi công 10, th¶i gian kéo dài 2 phút ð°ng h°
120	-1	-1	0	1	0	30000	-1	1	38	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	Gia Tång t¯c ðµ di chuy¬n 50%, th¶i gian kéo dài 30 giây ð°ng h°
130	-1	-1	0	1	0	600000	-1	1	16	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	Gia Tång kháng ðµc 20, th¶i gian kéo dài 10
