INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	ÈÎÎñÀàÐÍ(¿Í»§¶Ë)	Ðúng·ñTinhÓ¢(¿Í»§¶Ë)	Ðúng·ñÏÔÊ¾Íê³É(¿Í»§¶Ë)	»·Êý(¿Í»§¶Ë)	Ðúng·ñÑ­»·ÈÎÎñ	Hoàn t¤t nhi®m vøtoÕ ðµ NpctoÕ ðµ ×ø±ê(X)	Hoàn t¤t nhi®m vøtoÕ ðµ NpctoÕ ðµ ×ø±ê(Y)	ÈÎÎñÃû³Æ$1$	Møc tiêu nhi®m vø$1$	ÈÎÎñÃèÊö3$1$	ÈÎÎñÃèÊö4$1$	ÈÎÎñÃèÊö5$1$	Tiªp thøÈÎÎñ³¡¾°ID	Tiªp thøÈÎÎñNpcName$1$	Tiªp thøÈÎÎñNpcGuid	Hoàn t¤t nhi®m vø³¡¾°ID	Hoàn t¤t nhi®m vøNpcName$1$	Hoàn t¤t nhi®m vøNpcGuid	ÈÎÎñÐèÇóµÈ¼¶	Ç°ÐøÈÎÎñId1	Ç°ÐøÈÎÎñId2	Ç°ÐøÈÎÎñId3	»÷É±ÖÖÀàÊý(×î¶à5)	¹ÖÎïÃû³Æ1$1$	Ðúng·ñÑ°ÕÒËæ»úÎïÆ·	µôÂäÎïÆ·1	µôÂä¸ÅÂÊ1	µôÂäÊýÁ¿1	¹ÖÎïÃû³Æ2$1$	¹ÖÎï±êÖ¾2	µôÂäÎïÆ·2	µôÂä¸ÅÂÊ2	µôÂäÊýÁ¿2	¹ÖÎïÃû³Æ3$1$	¹ÖÎï±êÖ¾3	µôÂäÎïÆ·3	µôÂä¸ÅÂÊ3	µôÂäÊýÁ¿3	¹ÖÎïÃû³Æ4$1$	¹ÖÎï±êÖ¾4	µôÂäÎïÆ·4	µôÂä¸ÅÂÊ4	µôÂäÊýÁ¿4	¹ÖÎïÃû³Æ5$1$	¹ÖÎï±êÖ¾5	µôÂäÎïÆ·5	µôÂä¸ÅÂÊ5	µôÂäÊýÁ¿5	½ðÇ®½±Àø	Kinh nghi®m½±Àø	¹ØÏµÖµ´æ´¢Î»ÖÃ	¹ØÏµÖµ½±Àø	¹ØÏµÖµ½±ÀøÌáÊ¾$1$	·ÅÆúÈÎÎñ¹ØÏµÖµ³Í·£	¹ØÏµÖµ³Í·£ÌáÊ¾$1$	·ÅÆúÈÎÎñºó½ûÖ¹½ÓÈÎÎñtoÕ ðµ Ê±¼ä´æ´¢Î»ÖÃ	½ûÖ¹toÕ ðµ Ê±¼ä³¤¶È, giây	Ê±¼äÏÞÖÆÄÚ½ÓÈÎÎñtoÕ ðµ ÌáÊ¾$1$	¹Ì¶¨ÎïÆ·½±Àø1	cáiÊý1	¹Ì¶¨ÎïÆ·½±Àø2	cáiÊý2	¹Ì¶¨ÎïÆ·½±Àø3	cáiÊý3	¹Ì¶¨ÎïÆ·½±Àø4	cáiÊý4	¹Ì¶¨ÎïÆ·½±Àø5	cáiÊý5	¿ÉÑ¡ÎïÆ·½±Àø1	cáiÊý1	¿ÉÑ¡ÎïÆ·½±Àø2	cáiÊý2	¿ÉÑ¡ÎïÆ·½±Àø3	cáiÊý3	¿ÉÑ¡ÎïÆ·½±Àø4	cáiÊý4	¿ÉÑ¡ÎïÆ·½±Àø5	cáiÊý5	Òþ²Ø½±ÀøÎïÆ·1	cáiÊý1	Òþ²Ø½±ÀøÎïÆ·2	cáiÊý2	Òþ²Ø½±ÀøÎïÆ·3	cáiÊý3	ºóÐøÈÎÎñINDEX
1030000	492	17	0	1	0		240	173	Làm thay	#{MIS_TAR_ADD_456}	#{Mis_L_Wuliang_1030000}	#{RW_20080321_333}	#{RW_20080321_335}	6	Cát Quang Bµi	0	6	Cát Quang Bµi	0	1	-1	-1	-1	1	Cao S½n BÕch Viên	0	40002091	80	8																					150	2880	-1																																		
1030001	493	17	0	1	0		241	181	N÷c ðµc cüa ong	#{MIS_TAR_ADD_458}	#{Mis_L_Wuliang_1030001}	#{RW_20080321_334}	#{RW_20080321_336}	6	Can Quang Hào	0	6	Can Quang Hào	0	3	-1	-1	-1	1	ÐÕi Hoàng Phong	0	40002092	80	12																					175	5600	-1																																		
1030010	503	18	0	1	0		263	201	Chìa khóa bäo tàng màu h°ng	#{MIS_TAR_ADD_003}	#{Mis_L_Jiange_1030010}	#{RW_20080321_337}	#{RW_20080321_340}	7	Th¶i MÕi	0	7	Th¶i MÕi	0	5	-1	-1	-1	1	Võ Không	0	40002130	100	1																					120	5460	-1																																		
1030011	504	18	0	1	0		263	201	Chìa khóa bäo tàng màu vàng	#{MIS_TAR_ADD_004}	#{Mis_L_Jiange_1030011}	#{RW_20080321_338}	#{RW_20080321_340}	7	Th¶i MÕi	0	7	Th¶i MÕi	0	5	-1	-1	-1	1	Phù Ki«u	0	40002131	100	1																					105	4280	-1																																		
1030012	505	18	0	1	0		263	201	Chìa khóa bäo tàng màu xanh	#{MIS_TAR_ADD_005}	#{Mis_L_Jiange_1030012}	#{RW_20080321_339}	#{RW_20080321_340}	7	Th¶i MÕi	0	7	Th¶i MÕi	0	5	-1	-1	-1	1	ÐÕi Ki¬m	0	40002132	100	1																					100	4500	-1																																		
1030020	515	19	0	1	0		252	145	Giáp kích	#{MIS_TAR_ADD_007}	#{Mis_L_DunHuang_1030020}	#{RW_20080321_341}	#{RW_20080321_342}	8	Chu Vß½ng L­	0	8	Dß½ng Vån Quäng	0	13	514	-1	-1	1	Lý Tr÷ng Quý	0	40002135	100	1																					118	9660	-1																		10520020	1	10510030	1	10402063	1											1010022
1030030	465	14	0	1	0		181	81	Ngß¶i c·i chuông	#{MIS_TAR_ADD_008}	#{Mis_L_Songshan_1030030}	#{RW_20080321_343}	#{RW_20080321_346}	3	Løc Ngßng Sß½ng	0	3	Løc Ngßng Sß½ng	0	18	903	-1	-1	1	Môn Ðôn	0	40002128	100	1																					198	21420	-1																																		1030031
1030031	466	14	0	1	0		181	81	D¤u vªt chÑng cÑ l¶ m¶	#{MIS_TAR_ADD_476}	#{Mis_L_Songshan_1030031}	#{RW_20080321_344}	#{RW_20080321_347}	3	Løc Ngßng Sß½ng	0	3	Løc Ngßng Sß½ng	0	18	465	-1	-1	3	Lß Nhai Ð°ng Nhân	0	40002136	20	1	Lß Nhai Ð°ng Nhân	0	40002137	20	1	Lß Nhai Ð°ng Nhân	0	40002138	20	1											175	39480	-1																		10401062	1	10400062	1	10402064	1											1010032
1030032	469	14	0	1	0		182	81	Tung Dß½ng ÐoÕn Trß¶ng Thäo	#{MIS_TAR_ADD_009}	#{Mis_L_Songshan_1030032}	#{RW_20080321_345}	#{RW_20080321_348}	3	Løc Tùng	0	3	Løc Tùng	0	20	904	-1	-1	1	Ð°ng QuÛ	0	40002139	100	1																					290	18900	-1																		10411069	1	10410063	1													
