INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT
3001	3001	-1	-1	100000	0
3009	3009	-1	-1	100000	0
3011	3011	-1	-1	100000	0
3019	3019	-1	-1	100000	0
3021	3021	-1	-1	100000	0
3029	3029	-1	-1	100000	0
3031	3031	-1	-1	100000	0
3039	3039	-1	-1	100000	0
3041	3041	-1	-1	100000	0
3049	3049	-1	-1	100000	0
3051	3051	-1	-1	100000	0
3059	3059	-1	-1	100000	0
3061	3061	-1	-1	100000	0
3062	3062	-1	-1	100000	0
3069	3069	-1	-1	100000	0
3071	3071	-1	-1	100000	0
3072	3072	-1	-1	100000	0
3079	3079	-1	-1	100000	0
3081	3081	-1	-1	100000	0
3082	3082	-1	-1	100000	0
3089	3089	-1	-1	100000	0
3091	3091	-1	-1	100000	0
3092	3092	-1	-1	100000	0
3099	3099	-1	-1	100000	0
3101	3101	-1	-1	100000	0
3102	3102	-1	-1	100000	0
3109	3109	-1	-1	100000	0
3111	3111	-1	-1	100000	0
3112	3112	-1	-1	100000	0
3119	3119	-1	-1	100000	0
3121	3121	-1	-1	100000	0
3122	3122	-1	-1	100000	0
3129	3129	-1	-1	100000	0
3131	3131	-1	-1	500000	0
3132	3132	-1	-1	500000	0
3133	3133	-1	-1	500000	0
3139	3139	-1	-1	500000	0
3141	3141	-1	-1	500000	0
3142	3142	-1	-1	500000	0
3143	3143	-1	-1	500000	0
3149	3149	-1	-1	500000	0
3151	3151	-1	-1	500000	0
3152	3152	-1	-1	500000	0
3153	3153	-1	-1	500000	0
3159	3159	-1	-1	500000	0
3161	3161	-1	-1	500000	0
3162	3162	-1	-1	500000	0
3163	3163	-1	-1	500000	0
3169	3169	-1	-1	500000	0
3171	3171	-1	-1	600000	0
3172	3172	-1	-1	600000	0
3173	3173	-1	-1	600000	0
3174	3174	-1	-1	600000	0
3179	3179	-1	-1	600000	0
3181	3181	-1	-1	600000	0
3182	3182	-1	-1	600000	0
3183	3183	-1	-1	600000	0
3184	3184	-1	-1	600000	0
3189	3189	-1	-1	600000	0
3191	3191	-1	-1	600000	0
3192	3192	-1	-1	600000	0
3193	3193	-1	-1	600000	0
3194	3194	-1	-1	600000	0
3199	3199	-1	-1	600000	0
3201	3201	-1	-1	600000	0
3202	3202	-1	-1	600000	0
3203	3203	-1	-1	600000	0
3204	3204	-1	-1	600000	0
3209	3209	-1	-1	600000	0
3211	3211	-1	-1	700000	0
3212	3212	-1	-1	700000	0
3213	3213	-1	-1	700000	0
3214	3214	-1	-1	700000	0
3215	3215	-1	-1	700000	0
3219	3219	-1	-1	700000	0
3221	3221	-1	-1	700000	0
3222	3222	-1	-1	700000	0
3223	3223	-1	-1	700000	0
3224	3224	-1	-1	700000	0
3225	3225	-1	-1	700000	0
3229	3229	-1	-1	700000	0
3231	3231	-1	-1	700000	0
3232	3232	-1	-1	700000	0
3233	3233	-1	-1	700000	0
3234	3234	-1	-1	700000	0
3235	3235	-1	-1	700000	0
3239	3239	-1	-1	700000	0
3241	3241	-1	-1	700000	0
