INT	INT	STRING
³èÎïÀàÐÍ	ÏÔÊ¾Ãû³ÆÎÄ±¾	Ãû³Æ$1$
298	1	Phiêu Phiêu Áp
299	1	Phiêu Phiêu Th¯
300	5	Th¯
301	5	Yªn TØ
302	5	Ô Quy
303	15	Tu¤t
304	15	Nhím
305	15	H¥u TØ
306	25	Tùng ThØ
307	25	Hoán Hùng
308	25	Anh Vû
309	35	Tích D¸ch
310	35	D½i
311	35	Ðß¶ng Lang
312	35	NgÕc Ngß
313	45	Miêu Ð¥u ¿ng
314	45	Ch°n
315	45	H±
316	45	Dã Trß
317	55	Bång T¢m
318	55	¿ng
319	55	Ðà Ði¬u
320	55	Báo
321	65	B¡c Cñc Hùng
322	65	Kh±ng Tß¾c
323	65	Kiªm Xï H±
324	65	Tinh Tinh
325	75	Tê Ngßu
326	75	Tuyªt Ðiêu
327	75	Kiªm Long
328	75	Bác Mã
329	85	S° Phøng
330	85	Niên Thú
331	85	Long Quy
332	85	Anh Chiêu
333	95	KÏ Lân
334	95	Giao Long
335	20	Sài Miêu
336	20	D§u
337	20	Áp TØ
338	5	KÛ Gia Dß½ng
339	20	Mao Lß
340	20	Nga
341	20	Bá Vß½ng Long
342	5	Xí Nga
343	75	ÐÕi ThØ
344	20	Áp Chüy Thú
345	5	Hþi
346	5	Thanh Oa
347	75	Ti¬u Tßþng
348	5	Tuyªt H°
349	25	Lang
600	65	Thìn
601	5	Long Miêu
602	45	Cß¶ng Long Miêu
603	55	Trân Long Miêu
604	65	Siêu Long Miêu
605	75	Th¥n Long Miêu
606	5	M£c Kính Miêu
607	45	Lßu Hành Miêu
608	55	Th¶i Thßþng Miêu
609	65	Ngçu Tßþng Miêu
610	75	Quán Quân Miêu
611	5	Tê Ði¬u
612	45	Linh Tê Ði¬u
613	55	Trân Tê Ði¬u
614	65	Siêu Tê Ði¬u
615	75	Th¥n Tê Ði¬u
616	5	Hùng Miêu
617	45	Cß¶ng Hùng Miêu
618	55	Trân Hùng Miêu
619	65	Siêu Hùng Miêu
620	75	Th¥n Hùng Miêu
621	5	Bàng giäi
622	45	Cua Bi¬n
623	55	ÐÕi Áp Giäi
624	65	Tri«u Hành Giäi
625	75	Nhung Ngao Giäi
626	5	Ph¤n Ði®p
627	45	Ban Ði®p
628	55	Quyên Ði®p
629	65	Hoàn Ði®p
630	75	Phßþng Vî Ði®p
631	5	Oa Ngßu
632	45	Tráng Oa Ngßu
633	55	Trân Oa Ngßu
634	65	Siêu Oa Ngßu
635	75	Th¥n Oa Ngßu
636	5	Ðµc HÕt
637	45	Linh HÕt
638	55	Trân HÕt
639	65	Thiên HÕt
640	75	Ma HÕt
641	5	Ti¬u Mô
642	45	Tráng Mô
643	55	Trân Mô
644	65	Thánh Mô
645	75	Th¥n Mô
646	5	Giáp trùng
647	45	Cß¶ng Giáp trùng
648	55	Trân Giáp Trùng
649	65	Thánh Giáp Trùng
650	75	Th¥n Giáp Trùng
651	5	Ðß½ng H²
652	45	Linh Ðß½ng H²
653	55	Trân Ðß½ng H²
654	65	Thánh Ðß½ng H²
655	75	Th¥n Ðß½ng H²
656	65	Th¥n Xí Nga
657	45	Quai Xí Nga
658	55	Linh Xí Nga
659	65	Thánh Xí Nga
660	55	Höa Tông ThØ
661	75	Viêm Höa Tông ThØ
662	65	Huy«n Dñc Thú
663	75	Xuy Huy«n Dñc Thú
664	5	Ng÷c Th¯
665	45	HÕo Nguy®t Ng÷c Th¯
666	55	Thi«m Cung Ng÷c Th¯
667	65	H¢ng Nga Ng÷c Th¯
668	45	Tiêm Nha BÕo Long
669	55	Lþi Nha BÕo Long
670	65	Cang Nha BÕo Long
671	75	Huyªt Nha BÕo Long
750	5	Áp Chüy Thú
751	45	Áp Chüy Thú
752	55	Áp Chüy Thú
753	65	Áp Chüy Thú
754	75	Áp Chüy Thú
755	85	Áp Chüy Thú
756	95	Áp Chüy Thú
757	5	Tuyªt H°
758	45	Tuyªt H°
759	55	Tuyªt H°
760	65	Tuyªt H°
761	75	Tuyªt H°
762	85	Tuyªt H°
763	95	Tuyªt H°
764	5	Long Miêu
765	45	Long Miêu
766	55	Long Miêu
767	65	Long Miêu
768	75	Long Miêu
769	85	Long Miêu
770	95	Long Miêu
771	5	Tê Ði¬u
772	45	Tê Ði¬u
773	55	Tê Ði¬u
774	65	Tê Ði¬u
775	75	Tê Ði¬u
776	85	Tê Ði¬u
777	95	Tê Ði¬u
778	5	Hùng Miêu
779	45	Hùng Miêu
780	55	Hùng Miêu
781	65	Hùng Miêu
782	75	Hùng Miêu
783	85	Hùng Miêu
784	95	Hùng Miêu
785	5	Bàng giäi
786	45	Bàng giäi
787	55	Bàng giäi
788	65	Bàng giäi
789	75	Bàng giäi
790	85	Bàng giäi
791	95	Bàng giäi
792	5	H° Ði®p
793	45	H° Ði®p
794	55	H° Ði®p
795	65	H° Ði®p
796	75	H° Ði®p
797	85	H° Ði®p
798	95	H° Ði®p
799	5	Oa Ngßu
800	45	Oa Ngßu
801	55	Oa Ngßu
802	65	Oa Ngßu
803	75	Oa Ngßu
804	85	Oa Ngßu
805	95	Oa Ngßu
806	5	HÕt TØ
807	45	HÕt TØ
808	55	HÕt TØ
809	65	HÕt TØ
810	75	HÕt TØ
811	85	HÕt TØ
812	95	HÕt TØ
813	5	Xuyên S½n Giáp
814	45	Xuyên S½n Giáp
815	55	Xuyên S½n Giáp
816	65	Xuyên S½n Giáp
817	75	Xuyên S½n Giáp
818	85	Lôi Lân
819	95	Xuyên S½n Giáp
820	5	Huy«n Giáp Lôi Xà
821	45	Huy«n Giáp Lôi Xà
822	55	Huy«n Giáp Lôi Xà
823	65	Huy«n Giáp Lôi Xà
824	75	Huy«n Giáp Lôi Xà
825	85	Huy«n Giáp Lôi Xà
826	95	Huy«n Giáp Lôi Xà
827	5	Ðß½ng H²
828	45	Ðß½ng H²
829	55	Ðß½ng H²
830	65	Ðß½ng H²
831	75	Ðß½ng H²
