INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT
ID	²ß»®×¨ÓÃID	Ð§¹ûµÄ¼òÒªÂß¼­ËµÃ÷$1$	¼¼ÄÜÃèÊö(FOR TIP)$1$	¼¼ÄÜÃèÊö(FOR Interface)$1$	¼¼ÄÜÂß¼­ID	ÀäÈ´Ê±¼ä	¾ÛÆøÊ±¼ä(ms)	Òýµ¼Ê±¼ä(ms)	Ìõ¼þ»òÏûºÄ²ÎÊýËµÃ÷	Ìõ¼þºÍÏûºÄÂß¼­	Ìõ¼þ»òÏûºÄ²ÎÊýÖµ	Ìõ¼þ»òÏûºÄ²ÎÊýÖµ	Ìõ¼þ»òÏûºÄ²ÎÊýËµÃ÷	Ìõ¼þºÍÏûºÄÂß¼­	Ìõ¼þ»òÏûºÄ²ÎÊýÖµ	Ìõ¼þ»òÏûºÄ²ÎÊýÖµ	Ìõ¼þ»òÏûºÄ²ÎÊýËµÃ÷	Ìõ¼þºÍÏûºÄÂß¼­	Ìõ¼þ»òÏûºÄ²ÎÊýÖµ	Ìõ¼þ»òÏûºÄ²ÎÊýÖµ	Ä¿±ê¼¶±ð	Ô¤Áô	Ô¤Áô	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ	²ÎÊýËµÃ÷	²ÎÊýÖµ
0	0	T¤n công	#c54FF00(SØ døng thanh công cø nhanh)#r#cFFFFFFCñ ly hi®u quä: 0-2m#r #r Giäi thoát nhanh #c5BC257liên tiªp thi tri¬n	#c54FF00(SØ døng thanh công cø nhanh)#r#cFFFFFFCñ ly hi®u quä: 0-2m#r #r Giäi thoát nhanh #c5BC257liên tiªp thi tri¬n#r(SØ døng thanh công cø nhanh)	0	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|ÉúÐ§Ò»´ÎµÄ¸½¼ÓÐ§¹û1	0	|Òýµ¼ÖÜÆÚµÄ¸½¼ÓÐ§¹û1	-1	|ÉúÐ§Ò»´ÎµÄ¸½¼ÓÐ§¹û2	-1	|Òýµ¼ÖÜÆÚµÄ¸½¼ÓÐ§¹û2	-1		0		0		0		0		0		-1		0		0
1	0	Thu phøc	#c54FF00(SØ døng thanh công cø nhanh)#r#cFFFFFFCñ ly hi®u quä: 0-8m#r #r Th¶i gian v§n khí: 15 giây #r Thu Phøc Trân thú nªu Trân thú này b¸ nhi«u ngß¶i b¡t cùng lúc s¨ có khä nång th¤t bÕi	#c54FF00(SØ døng thanh công cø nhanh)#r#cFFFFFFCñ ly hi®u quä: 0-8m#r #r Th¶i gian v§n khí: 15 giây #r Thu Phøc Trân thú nªu Trân thú này b¸ nhi«u ngß¶i b¡t cùng lúc s¨ có khä nång th¤t bÕi	10	1300	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	ÉúÐ§Ò»´ÎµÄ¸½¼ÓÐ§¹û1	100		0		0		0		0		0		0		0		0		-1		0		0
2	0	Trân thú xu¤t chiªn	G÷i trân thú	G÷i trân thú	11	1300	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	ÎÞ	0		0		0		0		0		0		0		0		0		-1		0		0
3	0	M·	M·	M·	641	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	¸ø×Ô¼ºµÄÐ§¹û	-1	¸øÄ¿±êµÄÐ§¹û	169		0		0		0		0		0		0		0		0		0		0
21	0	Tø khí cßÞi tiêu chu¦n	G÷i thú cßÞi, thú cßÞi có th¬ giúp tång t¯c ðµ di chuy¬n #c54FF00(SØ døng thanh công cø nhanh) #r#c5BC257C¥n trang b¸ thú cßÞi	G÷i thú cßÞi, thú cßÞi có th¬ giúp tång t¯c ðµ di chuy¬n #c54FF00(SØ døng thanh công cø nhanh) #r#c5BC257C¥n trang b¸ thú cßÞi	14	3000	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	ËùÓÐÆï³ËbuffµÄ¼¯ºÏID	66		0		0		0		0		0		0		0		0		0		0		0
22	0	V« thành	#c54FF00(SØ døng thanh công cø nhanh)#r#cFFFFFFquay v« ÐÕi Lý#rTh¶i gian phøc h°i: 40 phút	#c54FF00(SØ døng thanh công cø nhanh)#r#cFFFFFFQuay v« ÐÕi Lý#rTh¶i gian phøc h°i: 40 phút	16	2400000	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	»Ø³ÇÊõµÄÐ§¹û	22	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	40002109	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	40002000	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	-1	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	-1	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	-1	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	-1	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	-1	Ïà³åÍ»µÄÎïÆ·µÄÎïÆ·±íÖÐµÄË÷Òý	-1		0		0		0
23	0	Khinh công	Khinh Công Phi Dßþc#rCñ ly hæu hi®u: 0-15m#r Th¶i gian phøc h°i: 5 giây	Khinh Công Phi Dßþc#rCñ ly hæu hi®u: 0-15m#r Th¶i gian phøc h°i: 5 giây	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
24	0	Khinh công	Khinh Công Phi Dßþc#rCñ ly hæu hi®u: 0-15m#r Th¶i gian phøc h°i: 5 giây	Khinh Công Phi Dßþc#rCñ ly hæu hi®u: 0-15m#r Th¶i gian phøc h°i: 5 giây	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
25	0	Khinh công	Khinh Công Phi Dßþc#rCñ ly hæu hi®u: 0-15m#r Th¶i gian phøc h°i: 5 giây	Khinh Công Phi Dßþc#rCñ ly hæu hi®u: 0-15m#r Th¶i gian phøc h°i: 5 giây	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
