INT	STRING
¶Ô»°ĞòºÅ	¶Ô»°ÄÚÈİ$1$
0	Ğ¬ tr¯ng là ğßşc
1	    Mµt th¶i gian trß¾c ğây nghe nói Thª TØ vçn còn · ĞÕi Lı thành, v« sau nghe nói ğã ği Trung Nguyên r°i
2	    Nghe ngß¶i bÕn t× Trung Nguyên tr· v« nói, Thª TØ cüa Tr¤n Nam Vß½ng Phü ğã t×ng xu¤t hi®n · vùng Tô Châu
3	    Thª TØ cüa Tr¤n Nam Vß½ng Phü thích chu du thiên hÕ, b¯c ch¯c mu¯n höi tin tÑc, nhßng lÕi không chu¦n xác, nghe nói h¡n ta ğã t×ng ği ğªn Tô Châu
4	    Nhæng cái khác thì ta không biªt, chï là nghe ngß¶i bÕn thân · Vô Tích nói, các hÕ ra ğã t×ng g£p Thª TØ Tr¤n Nam vß½ng u¯ng rßşu cùng 1 ğÕi häo hán tÕi TØu TÑ
5	    SuÜt, vi®c này không th¬ ğ¬ nhæng ngß¶i khác biªt, nghe nói Thª TØ cüa Tr¤n Nam Vß½ng ğã b¸ 1 h° tång cß¾p m¤t
6	    , °, Vån thái cüa Thª tØ khiªn ngß¶i ta phäi kinh ngÕc, giai vån nh¤t ğ¸nh s¨ ğßa cho MÕnh Tiên Sinh
7	    A di ğà Ph§t, thi®n tai, thi®n tai, Thª tØ cüa Tr¤n Nam Vß½ng thông minh sáng dÕ h½n ngß¶i, khá là có duyên v¾i ğÑc Ph§t cüa ta, trß¶ng thØ tinh nghiên Ph§t lı, công mÕt ğÕi h«
8	    Thi®n tai thi®n tai, b¥n tång ğã ğ÷c trß¾c r°i
9	    A di ğà Ph§t, ğa tÕ %R công bôn ba, tÕi ğây b¥n tång ch¡p tay r°i
10	    Vô lßşng thiên tôn, Thª tØ cüa Tr¤n Nam Vß½ng thông ming sáng dÕ h½n ngß¶i, nghiên cÑu kinh sách cüa ĞÕo gia tß½ng ğ¯i kÛ càng có trình ğµ, trß¶ng thØ tinh nghiên ğÕo lı, công mÕt ğÕi h«
11	    Quá t¯t, quá t¯t, B¥n ğÕo ğã ğ÷c trß¾c r°i
12	    Vô lßşng thiên tôn, ğa tÕ %Rcông bôn ba. TÕi ğây b¥n ğÕo xin ch¡p tay
13	    Di®u tai, di®u tai, ğúng là vån chß½ng tuy®t häo, Thª tØ tr¤n Nam Vß½ng thông minh sáng dÕ h½n ngß¶i. Vån chß½ng lı lu§n tinh túy thâm sâu, khiªm ta vô cùng bái phøc
14	    Quá t¯t, quá t¯t, ğşi ta xin ğßşc ğ÷c trß¾c ğã
15	    Quá t¯t, có công ğßa hµ bài vån này ği
16	    H×m, xin hãy chuy¬n l¶i ğªn thª tØ cüa tên ĞÕi Lı kia, chuy®n cüa em h÷ ta không khiªn h¡n ta phäi ğªm xïa
17	    Phi dã, phi dã, phi l­ v§t m¾i là ğÕo cüa quân tØ, Thª tØ cüa ĞÕi Lı chÆng là quân tØ ğó sao?
18	    Vß½ng cô nß½ng luôn luôn ği theo công tØ gia, nhæng tin tÑc höi cô ta r°i lÕi nói cho ngß½i biªt cûng chÆng có gì ğáng ngÕi
19	    Vß½ng cô nß½ng luôn luôn ği theo công tØ gia, nhæng tin tÑc höi cô ta r°i lÕi nói cho ngß½i biªt cûng chÆng có gì ğáng ngÕi
20	    Vß½ng cô nß½ng luôn luôn ği theo công tØ gia, nhæng tin tÑc höi cô ta r°i lÕi nói cho ngß½i biªt cûng chÆng có gì ğáng ngÕi
21	    À, ôi, trong lá thß có nhæng tin höi thåm Vß½ng cô nß½ng à? Vß½ng cô nß½ng luôn ği theo công tØ
22	    Trong thß là nhæng tin höi thåm Yên nhi, con bé này d¤u ta tr¯n khöi MÕn ğà s½n trang, Ta thì lÕi không hay biªt tı gì v« nó, lÕi mu¯n ği cùng th¢ng oát con nhà Mµ Dung kia
23	    İ cüa công tØ, ta hi¬u, ta s¨ thay h¡n dò höi Vß½ng, ... °, höi dò tin tÑc v« ngß¶i này
24	    T¤m th¸nh tình cüa... Ki«u Bang chü... Tiêu ğÕi vß½ng ğã nh§n, Cái Bang chúng ta không c¥n ğªn ân hu® cüa ngß¶i nß¾c Liêu.
25	    Th§t không ng¶ các hÕ lÕi ğßa thß cho ngß¶i nß¾c Liêu. Hmm... Ğáng tiªc, ğáng tiªc.
26	    TÕi hÕ t× trß¾c ğªn nay luôn khâm phøc Ki«u ğÕi ca, không ng¶ ğÕi ca lÕi là ngß¶i Liêu
27	    Xin chuy¬n l¶i Ki«u... Tiêu ğÕi ca, ít nh¤t trong Cái Bang tÕi hÕ s¨ không quên ğÕi ân ğÕi ğÑc cüa ğÕi ca.
28	    TÕi hÕ ğã nghe qua chuy®n này, chuy®n ğã nhß v§y, Tiêu ğ® lÕi không nŞ ra tay, ğ×ng quá trách mình.
29	    TÕi hÕ ğã nghe Chính Thu¥n nói v« chuy®n này, chuuy¬n l¶i ğªn quı vß½ng, nªu ğã vô ı, s¯ng chªt có s¯, không c¥n tñ trách mình.
30	    Nói lÕi thª nào, A Châu kh± m®nh cüa ta cûng b¸ thß½ng n£ng, nªu có th¬ tr¸ khöi thì th§t là giöi.
31	    Tï phu tÕi hÕ ğä thß½ng tÖ tÖ cüa tÕi hÕ, tÕi hÕ t§n m¡t trông th¤y. V§y mà tï phu vçn còn nh§n l¶i tÖ tÖ chåm sóc tÕi hÕ.
32	    TÕi hÕ Tri®u Ti«n Tôn m£c dù lµn xµn lung tung nhßng tÕi hÕ cho dù có chªt cûng không khai ra Ğ¾i Ğ¥u ğÕi ca.
33	    Cho dù Tiêu Phong róc xß½ng räi tro tÕi hÕ, v¸ ğÕi ca ğÑng ğ¥u này tÕi hÕ cho dù có chªt cûng không khai ra Ğ¾i Ğ¥u ğÕi ca.
34	    TÕi hÕ hãy nói v¾i tên c¦u nß¾c Liêu ğó, mu¯n có tin tÑc cüa Ğ¾i Ğ¥u ğÕi ca t× tÕi hÕ là không th¬.
35	    A Di Ğà Ph§t, nhßng hy v÷ng Tiêu thí chü nghî ğªn thiên hÕ, ch¾ có tiªp tøc truy ğu±i ğªn cùng.
36	    TÕi hÕ Ğan m² là ngß¶i nhß thª nào? Ğ×ng nh¡c ğªn Ğ¾i Ğ¥u ğÕi ca næa, ğ×ng nh¡c ğªn næa.
37	    Hãy nói Nam vi®n ğÕi vß½ng các ngß½i r¢ng m£c dù võ công cüa tÕi hÕ không b¢ng ğÕi vß½ng nhßng nªu ép tÕi hÕ khai ra Ğ¾i Ğ¥u ğÕi ca là ği«u không th¬.
38	    TÕi hÕ chï là l¤y ğßşc thß tiên phu ğ¬ lÕi, còn höi tÕi hÕ v« Ğ¾i Ğ¥u ğÕi ca thì tÕi hÕ lÕi không biªt.
39	    Mµt th¶i gian trß¾c ğây nghe nói Thª TØ vçn còn · ĞÕi Lı thành, v« sau nghe nói ğã ği Trung Nguyên r°i
40	    Nghe ngß¶i bÕn t× Trung Nguyên tr· v« nói, Thª TØ cüa Tr¤n Nam Vß½ng Phü ğã t×ng xu¤t hi®n · vùng Tô Châu
41	    Thª TØ cüa Tr¤n Nam Vß½ng Phü thích chu du thiên hÕ, b¯c ch¯c mu¯n höi tin tÑc, nhßng lÕi không chu¦n xác, nghe nói h¡n ta ğã t×ng ği ğªn Tô Châu
