INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10300004	1	30505816	5	30505817	5	30505908	5	10301198	10300006	10301000	10300006	10300006	10300006	10300006	10300006	10300006	10300006	10300006	50000
10300005	1	30505817	5	30505908	5	-1	-1	10301199	10300007	10301001	10300007	10300007	10300007	10300007	10300007	10300007	10300007	10300007	50000
10300006	1	30505816	1	30505817	5	30505908	5	10300006	10300006	10300006	10300006	10300006	10300006	10300006	10300006	10300006	10300006	10300006	50000
10300007	1	30505817	1	30505908	5	-1	-1	10300007	10300007	10300007	10300007	10300007	10300007	10300007	10300007	10300007	10300007	10300007	50000
10300100	1	30505908	5	-1	-1	-1	-1	10300106	10300103	10300109	10300103	10300103	10300103	10300103	10300103	10300103	10300103	10300103	50000
10300101	1	30505908	5	-1	-1	-1	-1	10300107	10300104	10300110	10300104	10300104	10300104	10300104	10300104	10300104	10300104	10300104	50000
10300102	1	30505908	5	-1	-1	-1	-1	10300108	10300105	10300111	10300105	10300105	10300105	10300105	10300105	10300105	10300105	10300105	50000
10300103	1	30505908	1	-1	-1	-1	-1	10300103	10300103	10300103	10300103	10300103	10300103	10300103	10300103	10300103	10300103	10300103	50000
10300104	1	30505908	1	-1	-1	-1	-1	10300104	10300104	10300104	10300104	10300104	10300104	10300104	10300104	10300104	10300104	10300104	50000
10300105	1	30505908	1	-1	-1	-1	-1	10300105	10300105	10300105	10300105	10300105	10300105	10300105	10300105	10300105	10300105	10300105	50000
10300106	1	30505908	1	-1	-1	-1	-1	10300106	10300106	10300106	10300106	10300106	10300106	10300106	10300106	10300106	10300106	10300106	50000
10300107	1	30505908	1	-1	-1	-1	-1	10300107	10300107	10300107	10300107	10300107	10300107	10300107	10300107	10300107	10300107	10300107	50000
10300108	1	30505908	1	-1	-1	-1	-1	10300108	10300108	10300108	10300108	10300108	10300108	10300108	10300108	10300108	10300108	10300108	50000
10300109	1	30505908	1	-1	-1	-1	-1	10300109	10300109	10300109	10300109	10300109	10300109	10300109	10300109	10300109	10300109	10300109	50000
10300110	1	30505908	1	-1	-1	-1	-1	10300110	10300110	10300110	10300110	10300110	10300110	10300110	10300110	10300110	10300110	10300110	50000
10300111	1	30505908	1	-1	-1	-1	-1	10300111	10300111	10300111	10300111	10300111	10300111	10300111	10300111	10300111	10300111	10300111	50000
10301000	1	30505816	1	30505817	5	30505908	5	10301000	10301000	10301000	10301000	10301000	10301000	10301000	10301000	10301000	10301000	10301000	50000
10301001	1	30505817	1	30505908	5	-1	-1	10301001	10301001	10301001	10301001	10301001	10301001	10301001	10301001	10301001	10301001	10301001	50000
10301100	1	30505908	5	-1	-1	-1	-1	10301106	10301109	10301103	10301103	10301103	10301103	10301103	10301103	10301103	10301103	10301103	50000
10301101	1	30505908	5	-1	-1	-1	-1	10301107	10301110	10301104	10301104	10301104	10301104	10301104	10301104	10301104	10301104	10301104	50000
10301102	1	30505908	5	-1	-1	-1	-1	10301108	10301111	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	50000
10301103	1	30505908	1	-1	-1	-1	-1	10301103	10301103	10301103	10301103	10301103	10301103	10301103	10301103	10301103	10301103	10301103	50000
10301104	1	30505908	1	-1	-1	-1	-1	10301104	10301104	10301104	10301104	10301104	10301104	10301104	10301104	10301104	10301104	10301104	50000
10301105	1	30505908	1	-1	-1	-1	-1	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	50000
