INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
ÐÄ·¨ID	ÃÅÅÉID	ÐÄ·¨Ãû³Æ$1$	ÐÄ·¨ÃèÊö$1$	ÐÄ·¨Í¼±ê	ÐÄ·¨Ó°ÏìÊôÐÔÂß¼­	ÐÄ·¨ÐÞÕýÂÊ(·Ï)	ÊÇ·ñÖ±½ÓÑ§»á	Éý¼¶ÈËÎïµÈ¼¶ÏÞÖÆ	ÐÄ·¨µÈ¼¶¶Î1	ÐÄ·¨ÐÞÕýÂÊ1	ÐÄ·¨µÈ¼¶¶Î2	ÐÄ·¨ÐÞÕýÂÊ2	ÐÄ·¨µÈ¼¶¶Î3	ÐÄ·¨ÐÞÕýÂÊ3	ÐÄ·¨µÈ¼¶¶Î4	ÐÄ·¨ÐÞÕýÂÊ4	ÐÄ·¨µÈ¼¶¶Î5	ÐÄ·¨ÐÞÕýÂÊ5	ÐÄ·¨µÈ¼¶¶Î6	ÐÄ·¨ÐÞÕýÂÊ6	ÐÄ·¨µÈ¼¶¶Î7	ÐÄ·¨ÐÞÕýÂÊ7	ÐÄ·¨µÈ¼¶¶Î8	ÐÄ·¨ÐÞÕýÂÊ8	ÐÄ·¨µÈ¼¶¶Î9	ÐÄ·¨ÐÞÕýÂÊ9	ÐÄ·¨µÈ¼¶¶Î10	ÐÄ·¨ÐÞÕýÂÊ10
1	0	Kim Cang Kinh	Tên ð¥y ðü là Kim Cß½ng Ban Nhßþc Ba La M§t Kinh, ghi chép lÕi câu chuy®n thuyªt pháp cüa Ph§t Ðà tÕi Xá v® Qu¯c, trong ðó có ¦n chÑa Kim cß½ng hàng ma chi lñc. Sau khi tu luy®n có th¬ nâng thành tÖ l® chính xác cho ð® tØ cüa phái Thiªu Lâm.#r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10.	XinFa1_1	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
2	0	Pháp Hoa Kinh	Tên g÷i ð¥y ðü là Di®u Pháp Liên Hoa Kinh, ghi chép nhæng bí ¦n v« sñ bí m§t cüa Chß Ph§t Nhß Lai, sñ huy«n di®u cüa nó không th¬ coi là danh trÕng. Sau khi tu luy®n có th¬ nâng cao hi®u su¤t né tránh cho ð® tØ cüa phái Thiªu Lâm. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20.	XinFa1_2	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
3	0	ÐÕi Quang Minh Kinh	Mµt trong ba bµ kinh ch¤n qu¯c cüa nß¾c Thiên Trúc, ghi chép ph§t pháp thâm sâu cüa Tây thiên tÑ phß½ng tÑ ph§t bi thiên mçn nhân. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa phái Thiªu Lâm.#r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa1_3	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
4	0	ÐÕt Ma Tâm Kinh	Tâm kinh m§t truy«n cüa Thi«n tông thüy t± B° Ð« ÐÕt Ma, ghi chép lý lu§n nµi li­n ð¯n ngµ cüa ph§t môn. Sau khi tu luy®n có th¬ nâng cao sÑc ngoÕi thü cho ð® tØ cüa phái Thiªu Lâm. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa1_4	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
5	0	Long Thø Tâm Kinh	Tâm kinh m§t truy«n cüa ÐÕi th×a tông sß Long thø B° tát, ghi chép lý lu§n h§u tích bÕc phát cüa ph§t môn. Sau khi tu luy®n có th¬ nâng cao ngoÕi công kích cho ð® tØ cüa phái Thiªu Lâm. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa1_5	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
6	0	Thích Ca Kinh	Ghi chép nhßng l¶i nói và vi®c làm kinh ði¬n cüa ðÑc Ph§t, do ðÕi ð® tØ bí m§t truy«n cho h§u thª, là kinh ði¬n t¯i cao cüa Ph§t gia, sau khi tu luy®n có th¬ nâng cao chï s¯ khí cüa ð® tØ Thiªu lâm. #r#c54FF00 h÷c c¤p ðµ 20.	XinFa1_6	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
7	1	Th¤t Táng Quy«n	V¯n là bäo v§t tr¤n phái cüa phái Không Ðµng, b¸ Hµ giáo Pháp vß½ng ð¶i trß¾c ðoÕt v« Minh Giáo,công phu bá ðÕo, vô kiên b¤t thôi. Sau khi tu luy®n có th¬ nâng cao tÖ l® chính xác cho ð® tØ cüa Minh Giáo. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa1_7	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
8	1	QuÏ Hoa Bí C¤p	Ðßþc ðÕi nµi cao thü ti«n b¯i viªt, m¤y chøc nåm nay ð«u là bäo v§t tr¤n giáo cüa Minh giáo. Sau khi tu luy®n có thª nâng cao hi®u quä né tránh cho ð® cüa Minh giáo. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20.	XinFa1_8	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
9	1	Thiên Ð¸a Na Di Pháp	Là bäo v§t ch¤n giáo cüa Minh giáo t±ng giáo Ba tß, có th¬ kh½i d§y sÑc mÕnh ti«m tàng bên trong c½ th¬ cüa mµt ngß¶i bình thß¶ng. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa Minh Giáo.#r#r#c54FF00 ÐÆng c¤p h÷c t§p c¤p 20	XinFa1_9	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
