INT	INT	STRING
index	week	info$1$
#<0>index	Ë÷Òý	
#<1>week	ÐÇÆÚ£¨0-6£¬ÖÜÈÕ-ÖÜÁù£©	
#<2>info	ÏûÏ¢ÄÚÈÝ	
#		
0	0	#cff99cc Hôm nay là ngày Tào V§n, kéo dài ðªn hªt #Y24: 00#cff99cc ngß¶i ch½i s¨ tiªn hành v§n chuy¬n lß½ng thäo và thu lþi ích g¤p bµi t× hoÕt ðµng này. Xin hãy ðªn#GLÕc Dß½ng (228,175) #YTào V§n sÑ Tri®u Minh Thành #cff99ccho£c #GTô Châu (234,78) #YTào V§n sÑ Løc Sî Tranh#cff99cc ho£c#G ÐÕi Lý (54,192) #YTào V§n sÑ Vß½ng Nhßþc Vû#cff99cc b¡t ð¥u Tào V§n.
1	6	#cff99ccHôm nay là ngày Thß½ng Nhân, nhæng ngß¶i ch½i trong Bang Hµi khi ðã hoàn thành nhi®m vø "Thß½ng nhân" s¨ giành ðßþc nhæng lþi ích l¾n . Xin hãy ðªn #GBang hµi trong thành th¸ (149,56) #YTi«n Vî Nh¤t#cff99cc b¡t ð¥u ði thß½ng nhân.
2	4	#cff99ccLu§n kiªm Hoa S½n l¥n ð¥u tiên s¨ b¡t ð¥u vào lúc #Y15: 00#cff99cc Xin m¶i ð® tØ cüa các môn phái hãy ðªn#GTô Châu (193,138) #YTô Kiªm Lînh#cff99cc báo danh tham gia.
3	0	#cff99ccLu§n kiªm Hoa S½n l¥n ð¥u tiên s¨ b¡t ð¥u vào lúc #Y15: 00#cff99cc Xin m¶i ð® tØ cüa các môn phái hãy ðªn#GTô Châu (193,138) #YTô Kiªm Lînh#cff99cc báo danh tham gia.
4	3	#cff99ccÐÕi hµi tÖ võ l¥n ð¥u tiên s¨ b¡t ð¥u vào lúc#Y15: 35#cff99ccxin m¶i các v¸ anh hùng ðªn #GTô Châu (173,130) #YTùy Báo Minh#cff99cc báo danh tham gia.
5	6	#cff99ccÐÕi hµi tÖ võ l¥n ð¥u tiên s¨ b¡t ð¥u vào lúc#Y15: 35#cff99ccxin m¶i các v¸ anh hùng ðªn #GTô Châu (173,130) #YTùy Báo Minh#cff99cc báo danh tham gia.
6	6	#YGi¾i Thi®u Di®t phï Kính H° #r#r#cfabf8f Th¶i gian hoÕt ðµng Di®t phï Kính H° #r#W#gfff0f0ThÑ 7 hàng tu¥n 1:00 b¡t ð¥u ðªn 10:00 kªt thúc#g000000#W. Các v¸ hãy tìm #gfff0f0T« Sát Vân · Kính H° (199, 54)#g000000#W tham gia hoÕt ðµng. #gfff0f0Chú ý: hoÕt ðµng c¥n có 3 ngß¶i tr· lên t± ðµi m¾i có th¬ tham gia. #g000000#W#cfabf8fÐi«u ki®n Di®t phï Kính H° #r#WKhi ngß¶i ch½i có #gfff0f0c¯ng hiªn bang hµi l¾n h½n 50#g000000#W, tìm bang phái #gfff0f0quan viên quân sñ Võ ÐÕi Uy#g000000#W, sau khi nh§n lînh #gfff0f0Ngân Bì L®nh Ti­n#g000000#W, tìm #gfff0f0T« Sát Vân · Kính H° (199, 54)#g000000#W tham gia hoÕt ðµng. #gfff0f0Chú ý: nh§n lînh thành công Ngân Bì L®nh Ti­n, s¨ kh¤u tr× 50 ði¬m c¯ng hiªn bang hµi cüa ngß¶i ch½i. #g000000#W#cfabf8fNµi dung cüa Di®t phï Kính H° #r#W Sau khi hoÕt ðµng b¡t ð¥u, s¨ tÕo 200 con Kính H° Thüy Phï. M²i khi giªt chªt 20 con Kính H° Thüy Phï, s¨ tÕo ra 1 con Kính H° Thüy Phï Tinh Anh. Kính H° Thüy Phï Tinh Anh #gfff0f0lñc công kích mÕnh h½n s¯ quái thông thß¶ng,#g000000#W nhßng#gfff0f0 v§t ph¦m r½i ra cûng s¨ t¯t h½n Kính H° Thüy Phï #g000000#W. Sau khi giªt chªt hªt t¤t cä Kính H° Thüy Phï và Kính H° Thüy Phï Tinh Anh, s¨ xu¤t hi®n 2 loÕi BOSS: Kính H° Thüy Phï ð¥u lînh. #rThØ thách th§t sñ ðã ðªn, chú ý sinh m®nh cüa mình, c¦n th§n kÛ nång cüa BOSS, thông qua sñ ph¯i hþp cüa ðµi ngû, cùng chiªn th¡ng BOSS. #rSau khi giªt chªt BOSS, s¨ #gfff0f0có các loÕi v§t ph¦m ð£c thù khen thß·ng#g000000#W, còn ðó là cái gì, các hÕ hãy thØ khiêu chiªn 1 l¥n ði! #rNgoài ra, #GAnh hùng tiêu di®t 6 tên Kính H° Thüy Phï ð¥u lînh #Wcó th¬ ðÕt ðßþc danh hi®u #GDi®t phï du kích tß¾ng quân #W!#G Anh hùng tiêu di®t 18 tên Kính H° Thüy Phï ð¥u lînh#W có th¬ ðÕt ðßþc danh hi®u #GDi®t phï Phá L² tß¾ng quân #W! #GAnh hùng tiêu di®t 50 tên Kính H° Thüy Phï ð¥u lînh#W có th¬ ðÕt ðßþc danh hi®u #GDi®t phï xa kÜ tß¾ng quân #W! #GAnh hùng tiêu di®t 100 tên Kính H° Thüy Phï ð¥u lînh#W có th¬ ðÕt ðßþc danh hi®u Hoàng thßþng ban t£ng #GDi®t phï ðÕi tß¾ng quân#W!
